CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;LC;7212;A;6;0;;2.02251;-0.42105;0.20161;Amarela;496;1;0
1;LC;32893;C;5;0;;2.59894;0.65173;0.18129;Amarela;456;1;0
1;LC;55925;D;6;0;;1.80017;0.8021;0.20292;Branca;458;1;0
1;LC;55933;C;6;0;;1.35954;1.17424;0.25459;Azul;495;1;0
1;LC;61229;E;5;0;;1.73024;1.83611;0.20924;Branca;497;1;0
1;LC;84836;B;5;0;;1.76657;1.0366;0.213;Azul;455;1;0
1;LC;84836;B;5;0;;1.76657;1.0366;0.213;Laranja;465;1;0
1;LC;84836;B;5;0;;1.76657;1.0366;0.213;Rosa;457;1;0
1;LC;84836;B;5;0;;1.76657;1.0366;0.213;Verde;469;1;1
1;LC;85387;C;6;0;;3.00737;0.91167;0.45573;Rosa;457;0;0
1;LC;87035;B;5;0;;4.5056;0.73171;0.2227;Azul;455;0;0
1;LC;87035;B;5;0;;4.5056;0.73171;0.2227;Branca;458;0;0
1;LC;87035;B;5;0;;4.5056;0.73171;0.2227;Laranja;465;0;0
1;LC;87035;B;5;0;;4.5056;0.73171;0.2227;Verde;469;0;1
1;LC;87507;B;6;0;;4.00263;0.48023;0.34654;Amarela;456;0;0
1;LC;90119;B;5;0;;2.61664;0.61521;0.22421;Amarela;496;0;0
1;LC;90119;B;5;0;;2.61664;0.61521;0.22421;Azul;495;0;0
1;LC;90119;B;5;0;;2.61664;0.61521;0.22421;Branca;497;0;0
1;LC;90119;B;5;0;;2.61664;0.61521;0.22421;Rosa;498;0;0
1;LC;96786;E;5;0;;1.80719;1.02631;0.12053;Rosa;498;1;0
2;LC;7212;A;6;0;;2.02251;-0.42105;0.20161;Azul;495;1;0
2;LC;7212;A;6;0;;2.02251;-0.42105;0.20161;Branca;497;1;0
2;LC;17485;B;5;0;;3.24021;0.77443;0.22017;Amarela;496;0;0
2;LC;17485;B;5;0;;3.24021;0.77443;0.22017;Branca;497;0;0
2;LC;55933;C;6;0;;1.35954;1.17424;0.25459;Amarela;496;1;0
2;LC;59531;B;7;0;;1.17987;0.18899;0.05644;Amarela;456;1;0
2;LC;59531;B;7;0;;1.17987;0.18899;0.05644;Rosa;457;1;0
2;LC;85387;C;6;0;;3.00737;0.91167;0.45573;Branca;458;0;0
2;LC;87035;B;5;0;;4.5056;0.73171;0.2227;Amarela;456;0;0
2;LC;87507;B;6;0;;4.00263;0.48023;0.34654;Azul;455;0;0
2;LC;87507;B;6;0;;4.00263;0.48023;0.34654;Laranja;465;0;0
2;LC;87507;B;6;0;;4.00263;0.48023;0.34654;Rosa;457;0;0
2;LC;87507;B;6;0;;4.00263;0.48023;0.34654;Verde;469;0;1
2;LC;88480;B;5;0;;1.16779;1.53947;0.11223;Azul;455;1;0
2;LC;88480;B;5;0;;1.16779;1.53947;0.11223;Branca;458;1;0
2;LC;88480;B;5;0;;1.16779;1.53947;0.11223;Laranja;465;1;0
2;LC;88480;B;5;0;;1.16779;1.53947;0.11223;Verde;469;1;1
2;LC;97229;C;6;0;;3.37571;0.67092;0.15391;Rosa;498;1;0
2;LC;98220;D;7;0;;3.76232;0.83025;0.20321;Azul;495;0;0
2;LC;98220;D;7;0;;3.76232;0.83025;0.20321;Rosa;498;0;0
3;LC;7212;A;6;0;;2.02251;-0.42105;0.20161;Rosa;498;1;0
3;LC;13652;E;7;0;;2.43311;0.94271;0.15103;Amarela;456;0;0
3;LC;13652;E;7;0;;2.43311;0.94271;0.15103;Rosa;457;0;0
3;LC;17817;A;6;0;;3.86369;0.85701;0.16228;Azul;495;0;0
3;LC;17817;A;6;0;;3.86369;0.85701;0.16228;Branca;497;0;0
3;LC;32893;C;5;0;;2.59894;0.65173;0.18129;Azul;455;1;0
3;LC;32893;C;5;0;;2.59894;0.65173;0.18129;Branca;458;1;0
3;LC;32893;C;5;0;;2.59894;0.65173;0.18129;Laranja;465;1;0
3;LC;32893;C;5;0;;2.59894;0.65173;0.18129;Verde;469;1;1
3;LC;55925;D;6;0;;1.80017;0.8021;0.20292;Rosa;457;1;0
