CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
102;CN;62293;B;5;0;;3.00296;1.17427;0.16918;AZUL;909;;
122;CN;82265;C;8;0;;2.63278;0.67271;0.32905;AZUL;909;;
125;CN;81640;B;21;0;;1.7041;1.93672;0.18178;AZUL;909;;
95;CN;117843;A;27;0;;4.13911;0.76309;0.13487;AZUL;909;;
96;CN;63600;B;15;0;;2.78598;1.12828;0.24608;AZUL;909;;
100;CN;117898;B;3;0;;2.68999;0.6514;0.15907;AZUL;909;;
97;CN;12401;E;19;0;;1.83234;0.97623;0.19551;AZUL;909;;
120;CN;111544;A;22;0;;2.35776;1.39005;0.14902;AZUL;909;;
126;CN;14944;D;5;0;;1.20474;2.12158;0.23447;AZUL;909;;
135;CN;46813;D;18;0;;2.76737;1.53283;0.1128;AZUL;909;;
123;CN;85525;D;29;0;;0.49099;1.72446;0.02266;AZUL;909;;
128;CN;111546;D;23;0;;3.28052;1.65567;0.21068;AZUL;909;;
101;CN;48911;C;25;0;;1.98857;1.61387;0.29096;AZUL;909;;
91;CN;117867;E;12;0;;2.57831;1.34841;0.19923;AZUL;909;;
119;CN;84331;A;19;0;;2.53465;2.4095;0.0954;AZUL;909;;
103;CN;88260;E;7;0;;2.12286;1.66345;0.22982;AZUL;909;;
133;CN;88403;D;5;0;;2.9738;1.96749;0.12076;AZUL;909;;
110;CN;111623;B;9;0;;2.5914;1.40589;0.13998;AZUL;909;;
132;CN;111664;A;13;0;;2.45876;0.44934;0.19743;AZUL;909;;
117;CN;98020;B;8;0;;1.36007;1.79781;0.13996;AZUL;909;;
121;CN;78726;E;16;0;;1.27392;1.76469;0.13413;AZUL;909;;
112;CN;85079;E;11;0;;0.92989;-0.72714;0.02105;AZUL;909;;
98;CN;111498;D;14;0;;0.7292;3.81485;0.10881;AZUL;909;;
106;CN;117891;C;22;0;;0.81733;2.29106;0.15388;AZUL;909;;
93;CN;68355;E;28;0;;1.89221;0.64628;0.16333;AZUL;909;;
118;CN;86378;D;30;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;AZUL;909;;
105;CN;59907;A;20;0;;2.3659;2.02542;0.14126;AZUL;909;;
114;CN;19227;B;14;0;;2.39928;1.65732;0.14967;AZUL;909;;
108;CN;98108;D;3;0;;2.76968;0.71695;0.24269;AZUL;909;;
107;CN;60284;C;6;0;;1.89764;1.77374;0.22707;AZUL;909;;
109;CN;89864;C;17;0;;2.59028;1.66716;0.26726;AZUL;909;;
116;CN;84502;C;19;0;;2.1616;2.43316;0.3388;AZUL;909;;
99;CN;126594;A;9;0;;2.7664;0.51395;0.30712;AZUL;909;;
127;CN;97577;C;16;0;;1.73579;-0.23373;0.13306;AZUL;909;;
134;CN;117980;C;6;0;;1.7383;1.40697;0.1367;AZUL;909;;
94;CN;85781;C;20;0;;0.77238;3.24395;0.19069;AZUL;909;;
124;CN;117627;C;2;0;;2.28165;0.59099;0.22224;AZUL;909;;
113;CN;66339;E;24;0;;3.2481;1.38461;0.17112;AZUL;909;;
131;CN;54959;B;1;0;;2.15669;1.23172;0.29573;AZUL;909;;
130;CN;54019;B;24;0;;3.87694;1.86924;0.19867;AZUL;909;;
115;CN;111647;B;23;0;;2.72669;1.99105;0.20284;AZUL;909;;
129;CN;87718;B;16;0;;3.29305;1.87858;0.17777;AZUL;909;;
92;CN;63095;D;1;0;;3.01758;1.65693;0.15293;AZUL;909;;
104;CN;117795;B;10;0;;3.24877;1.21839;0.09433;AZUL;909;;
111;CN;39279;B;4;0;;1.41618;0.30941;0.07884;AZUL;909;;
91;CN;111664;A;13;0;;2.45876;0.44934;0.19743;AMARELA;910;;
110;CN;86378;D;30;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;AMARELA;910;;
113;CN;48911;C;25;0;;1.98857;1.61387;0.29096;AMARELA;910;;
105;CN;14944;D;5;0;;1.20474;2.12158;0.23447;AMARELA;910;;
125;CN;19227;B;14;0;;2.39928;1.65732;0.14967;AMARELA;910;;
126;CN;111647;B;23;0;;2.72669;1.99105;0.20284;AMARELA;910;;
103;CN;117891;C;22;0;;0.81733;2.29106;0.15388;AMARELA;910;;
131;CN;12401;E;19;0;;1.83234;0.97623;0.19551;AMARELA;910;;
117;CN;89864;C;17;0;;2.59028;1.66716;0.26726;AMARELA;910;;
92;CN;88403;D;5;0;;2.9738;1.96749;0.12076;AMARELA;910;;
134;CN;63095;D;1;0;;3.01758;1.65693;0.15293;AMARELA;910;;
121;CN;59907;A;20;0;;2.3659;2.02542;0.14126;AMARELA;910;;
96;CN;111546;D;23;0;;3.28052;1.65567;0.21068;AMARELA;910;;
98;CN;54019;B;24;0;;3.87694;1.86924;0.19867;AMARELA;910;;
118;CN;111623;B;9;0;;2.5914;1.40589;0.13998;AMARELA;910;;
127;CN;62293;B;5;0;;3.00296;1.17427;0.16918;AMARELA;910;;
99;CN;54959;B;1;0;;2.15669;1.23172;0.29573;AMARELA;910;;
130;CN;63600;B;15;0;;2.78598;1.12828;0.24608;AMARELA;910;;
132;CN;111498;D;14;0;;0.7292;3.81485;0.10881;AMARELA;910;;
94;CN;46813;D;18;0;;2.76737;1.53283;0.1128;AMARELA;910;;
119;CN;88260;E;7;0;;2.12286;1.66345;0.22982;AMARELA;910;;
100;CN;78726;E;16;0;;1.27392;1.76469;0.13413;AMARELA;910;;
106;CN;117627;C;2;0;;2.28165;0.59099;0.22224;AMARELA;910;;
95;CN;97577;C;16;0;;1.73579;-0.23373;0.13306;AMARELA;910;;
112;CN;117898;B;3;0;;2.68999;0.6514;0.15907;AMARELA;910;;
128;CN;85781;C;20;0;;0.77238;3.24395;0.19069;AMARELA;910;;
97;CN;87718;B;16;0;;3.29305;1.87858;0.17777;AMARELA;910;;
122;CN;39279;B;4;0;;1.41618;0.30941;0.07884;AMARELA;910;;
135;CN;68355;E;28;0;;1.89221;0.64628;0.16333;AMARELA;910;;
111;CN;126594;A;9;0;;2.7664;0.51395;0.30712;AMARELA;910;;
116;CN;98108;D;3;0;;2.76968;0.71695;0.24269;AMARELA;910;;
120;CN;117795;B;10;0;;3.24877;1.21839;0.09433;AMARELA;910;;
123;CN;85079;E;11;0;;0.92989;-0.72714;0.02105;AMARELA;910;;
109;CN;98020;B;8;0;;1.36007;1.79781;0.13996;AMARELA;910;;
114;CN;84331;A;19;0;;2.53465;2.4095;0.0954;AMARELA;910;;
101;CN;82265;C;8;0;;2.63278;0.67271;0.32905;AMARELA;910;;
129;CN;117843;A;27;0;;4.13911;0.76309;0.13487;AMARELA;910;;
108;CN;84502;C;19;0;;2.1616;2.43316;0.3388;AMARELA;910;;
107;CN;81640;B;21;0;;1.7041;1.93672;0.18178;AMARELA;910;;
102;CN;85525;D;29;0;;0.49099;1.72446;0.02266;AMARELA;910;;
93;CN;117980;C;6;0;;1.7383;1.40697;0.1367;AMARELA;910;;
133;CN;117867;E;12;0;;2.57831;1.34841;0.19923;AMARELA;910;;
124;CN;66339;E;24;0;;3.2481;1.38461;0.17112;AMARELA;910;;
104;CN;60284;C;6;0;;1.89764;1.77374;0.22707;AMARELA;910;;
115;CN;111544;A;22;0;;2.35776;1.39005;0.14902;AMARELA;910;;
104;CN;84331;A;19;0;;2.53465;2.4095;0.0954;CINZA;911;;
119;CN;111623;B;9;0;;2.5914;1.40589;0.13998;CINZA;911;;
131;CN;39279;B;4;0;;1.41618;0.30941;0.07884;CINZA;911;;
122;CN;14944;D;5;0;;1.20474;2.12158;0.23447;CINZA;911;;
111;CN;84502;C;19;0;;2.1616;2.43316;0.3388;CINZA;911;;
128;CN;117980;C;6;0;;1.7383;1.40697;0.1367;CINZA;911;;
130;CN;62293;B;5;0;;3.00296;1.17427;0.16918;CINZA;911;;
113;CN;86378;D;30;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;CINZA;911;;
94;CN;54019;B;24;0;;3.87694;1.86924;0.19867;CINZA;911;;
106;CN;88260;E;7;0;;2.12286;1.66345;0.22982;CINZA;911;;
124;CN;82265;C;8;0;;2.63278;0.67271;0.32905;CINZA;911;;
126;CN;111664;A;13;0;;2.45876;0.44934;0.19743;CINZA;911;;
117;CN;98108;D;3;0;;2.76968;0.71695;0.24269;CINZA;911;;
123;CN;78726;E;16;0;;1.27392;1.76469;0.13413;CINZA;911;;
100;CN;111498;D;14;0;;0.7292;3.81485;0.10881;CINZA;911;;
