CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
73;CN;70133;B;7;0;;1.68399;1.73884;0.18724;Azul;121;
101;LC;70152;E;15;0;;1.56971;0.88665;0.09686;Cinza;135;
107;LC;70179;C;20;0;;2.10025;0.17269;0.21756;Amarelo;125;
104;LC;70179;C;20;0;;2.10025;0.17269;0.21756;Azul;127;
106;LC;70179;C;20;0;;2.10025;0.17269;0.21756;Cinza;126;
106;LC;70179;C;20;0;;2.10025;0.17269;0.21756;Rosa;128;
136;MT;70183;A;1;0;;2.11832;0.73515;0.18808;Cinza;130;
139;MT;70183;A;1;0;;2.11832;0.73515;0.18808;Azul;131;
138;MT;70183;A;1;0;;2.11832;0.73515;0.18808;Rosa;132;
137;MT;70183;A;1;0;;2.11832;0.73515;0.18808;Amarelo;129;
177;MT;70186;C;25;0;;2.41428;0.72059;0.14558;Cinza;136;
145;MT;70193;D;16;0;;1.99589;1.70681;0.15544;Cinza;136;
167;MT;70194;B;24;0;;1.18936;2.75205;0.25776;Cinza;136;
164;MT;70198;D;16;0;;1.92502;1.29983;0.1805;Azul;131;
164;MT;70198;D;16;0;;1.92502;1.29983;0.1805;Cinza;130;
163;MT;70198;D;16;0;;1.92502;1.29983;0.1805;Amarelo;129;
160;MT;70198;D;16;0;;1.92502;1.29983;0.1805;Rosa;132;
158;MT;70201;B;8;0;;1.63;2.90487;0.21354;Amarelo;129;
163;MT;70201;B;8;0;;1.63;2.90487;0.21354;Rosa;132;
155;MT;70201;B;8;0;;1.63;2.90487;0.21354;Azul;131;
157;MT;70201;B;8;0;;1.63;2.90487;0.21354;Cinza;130;
168;MT;70210;B;15;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;136;
161;MT;70238;B;3;0;;2.74865;1.47857;0.21513;Azul;131;
164;MT;70238;B;3;0;;2.74865;1.47857;0.21513;Amarelo;129;
158;MT;70238;B;3;0;;2.74865;1.47857;0.21513;Rosa;132;
162;MT;70238;B;3;0;;2.74865;1.47857;0.21513;Cinza;130;
138;MT;70243;C;14;0;;2.31628;0.68656;0.19073;Cinza;136;
111;LC;70252;C;18;0;;3.06882;0.32086;0.20442;Cinza;135;
60;CN;70253;A;6;0;;2.52119;1.33878;0.11338;Azul;121;
59;CN;70253;A;6;0;;2.52119;1.33878;0.11338;Amarelo;122;
61;CN;70253;A;6;0;;2.52119;1.33878;0.11338;Rosa;124;
62;CN;70253;A;6;0;;2.52119;1.33878;0.11338;Branco;123;
2;CH;70264;E;22;0;;1.60553;0.33263;0.09496;Branco;134;
52;CN;70278;C;17;0;;1.61308;1.29865;0.2812;Rosa;124;
54;CN;70278;C;17;0;;1.61308;1.29865;0.2812;Azul;121;
56;CN;70278;C;17;0;;1.61308;1.29865;0.2812;Amarelo;122;
56;CN;70278;C;17;0;;1.61308;1.29865;0.2812;Branco;123;
88;CN;70302;C;30;0;;1.65685;-1.80092;0.09167;Amarelo;122;
89;CN;70302;C;30;0;;1.65685;-1.80092;0.09167;Azul;121;
89;CN;70302;C;30;0;;1.65685;-1.80092;0.09167;Rosa;124;
90;CN;70302;C;30;0;;1.65685;-1.80092;0.09167;Branco;123;
152;MT;70344;B;16;0;;1.38737;1.78343;0.14443;Cinza;136;
98;LC;70370;A;17;0;;1.89235;-0.28099;0.14613;Rosa;128;
101;LC;70370;A;17;0;;1.89235;-0.28099;0.14613;Azul;127;
103;LC;70370;A;17;0;;1.89235;-0.28099;0.14613;Cinza;126;
100;LC;70370;A;17;0;;1.89235;-0.28099;0.14613;Amarelo;125;
129;LC;70371;A;29;0;;3.01701;-0.19313;0.18968;Cinza;135;
166;MT;70405;A;9;0;;1.6024;1.2153;0.14692;Cinza;130;
170;MT;70405;A;9;0;;1.6024;1.2153;0.14692;Amarelo;129;
