CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;CH;24918;C;1;0;;1.30844;2.802770;0.05925;AMARELA;396;;0
1;CH;37161;E;28;0;;1.93517;0.754310;0.10121;VERDE;412;;1
1;CH;44604;C;5;0;;3.43894;0.978310;0.10855;AZUL;395;;0
1;CH;44604;C;5;0;;3.43894;0.978310;0.10855;LARANJA;408;;1
1;CH;54004;D;24;0;;1.70138;0.599010;0.24908;AZUL;435;;0
1;CH;76958;C;18;0;;1.67166;1.053110;0.16373;BRANCA;437;;0
1;CH;78146;E;8;0;;4.15431;0.996790;0.17249;BRANCA;397;;0
1;CH;81726;B;30;0;;3.95893;1.080550;0.14882;AMARELA;436;;0
1;CH;82449;D;10;0;;1.15761;1.721140;0.05120;ROSA;398;;0
1;CH;84523;E;10;0;;3.94310;0.062400;0.18224;ROSA;438;;0
1;CN;29460;D;7;0;;4.15611;1.606000;0.17345;AZUL;391;;0
1;CN;30038;E;29;0;;2.97316;0.618630;0.10857;AMARELA;431;;0
1;CN;37558;E;21;0;;3.52416;1.833390;0.13342;CINZA;432;;0
1;CN;40150;B;3;0;;2.52396;1.352650;0.14168;AMARELA;392;;0
1;CN;40150;B;3;0;;2.52396;1.352650;0.14168;LARANJA;407;;1
1;CN;43880;E;20;0;;4.27457;0.567650;0.22036;ROSA;394;;0
1;CN;55753;C;1;0;;3.58463;-0.605900;0.18169;AZUL;433;;0
1;CN;60918;C;14;0;;3.33047;1.129540;0.20831;ROSA;434;;0
1;CN;61269;C;14;0;;5.00249;0.929510;0.15259;CINZA;393;;0
1;CN;84451;C;26;0;;2.31465;-0.862610;0.18540;VERDE;411;;1
1;LC;18212;E;7;0;;2.83695;0.715510;0.20157;AMARELA;400;0;0
1;LC;18292;B;5;0;;3.76641;1.020640;0.26396;AZUL;439;0;0
1;LC;23448;A;7;0;;2.29600;-0.141770;0.18738;AMARELA;440;0;0
1;LC;37043;D;6;0;;3.20601;0.686770;0.15385;BRANCA;402;0;0
1;LC;37683;C;6;0;;3.23952;0.205850;0.20042;BRANCA;441;0;0
1;LC;48074;D;6;0;;4.52165;0.539660;0.24458;AZUL;399;0;0
1;LC;48074;D;6;0;;4.52165;0.539660;0.24458;LARANJA;409;0;1
1;LC;48074;D;6;0;;4.52165;0.539660;0.24458;ROSA;401;0;0
1;LC;54408;A;5;0;;1.57863;0.537250;0.18924;VERDE;413;0;1
1;LC;64089;A;6;0;;2.87437;0.428120;0.19261;ROSA;442;0;0
1;MT;10252;B;22;0;;1.66203;1.365890;0.13107;ROSA;446;;0
1;MT;17291;B;3;0;;1.50418;1.517110;0.14864;CINZA;444;;0
1;MT;25338;C;21;0;;2.24462;0.431980;0.16165;AZUL;445;;0
1;MT;26050;C;26;0;;1.42986;2.732440;0.18228;AMARELA;443;;0
1;MT;53564;C;29;0;;1.31894;-0.203370;0.19975;VERDE;414;;1
1;MT;68172;C;20;0;;2.27998;1.441460;0.30754;AMARELA;404;;0
1;MT;68172;C;20;0;;2.27998;1.441460;0.30754;LARANJA;410;;1
1;MT;82352;B;2;0;;2.43490;1.747790;0.22339;ROSA;405;;0
1;MT;87141;A;19;0;;0.80131;4.143160;0.11810;AZUL;403;;0
1;MT;95803;E;5;0;;2.03148;1.762140;0.19951;CINZA;406;;0
2;CH;7962;A;2;0;;0.72218;0.540270;0.23758;ROSA;398;;0
2;CH;23043;D;20;0;;1.93517;0.754310;0.10121;AMARELA;396;;0
2;CH;25316;C;1;0;;3.11845;1.144510;0.21842;BRANCA;397;;0
2;CH;38250;D;9;0;;3.00837;0.491690;0.13877;AZUL;395;;0
2;CH;38250;D;9;0;;3.00837;0.491690;0.13877;LARANJA;408;;1
2;CH;53788;C;5;0;;3.18886;0.472390;0.18570;AZUL;435;;0
2;CH;66987;C;30;0;;1.68070;-0.227280;0.18248;AMARELA;436;;0
2;CH;82270;C;8;0;;3.08191;1.068240;0.08004;BRANCA;437;;0
2;CH;86755;A;21;0;;1.99823;0.515650;0.20204;ROSA;438;;0
2;CH;97477;B;2;0;;2.76077;0.407080;0.15169;VERDE;412;;1
2;CN;8568;A;28;0;;2.48746;-0.097850;0.19043;AZUL;433;;0
2;CN;8757;E;19;0;;1.29682;2.032450;0.05236;ROSA;394;;0
2;CN;24620;E;19;0;;3.87561;2.071020;0.20037;ROSA;434;;0
2;CN;29629;A;9;0;;3.66489;0.247440;0.19369;AMARELA;431;;0
2;CN;47418;C;16;0;;0.89534;2.031820;0.06960;AMARELA;392;;0
2;CN;47418;C;16;0;;0.89534;2.031820;0.06960;LARANJA;407;;1
2;CN;59980;E;2;0;;3.62645;1.112150;0.11193;AZUL;391;;0
2;CN;81780;C;18;0;;1.89955;2.397520;0.20382;CINZA;393;;0
2;CN;81945;B;30;0;;4.28182;0.845530;0.08121;CINZA;432;;0
2;CN;84127;A;20;0;;3.13168;-0.363900;0.18959;VERDE;411;;1
2;LC;18212;E;7;0;;2.83695;0.715510;0.20157;ROSA;401;0;0
2;LC;37043;D;6;0;;3.20601;0.686770;0.15385;AZUL;399;0;0
2;LC;37043;D;6;0;;3.20601;0.686770;0.15385;LARANJA;409;0;1
2;LC;37683;C;6;0;;3.23952;0.205850;0.20042;ROSA;442;0;0
2;LC;39608;D;7;0;;2.50045;0.824830;0.16534;VERDE;413;0;1
2;LC;42335;B;7;0;;3.56712;0.321620;0.20155;AMARELA;440;0;0
2;LC;48074;D;6;0;;4.52165;0.539660;0.24458;AMARELA;400;0;0
2;LC;48074;D;6;0;;4.52165;0.539660;0.24458;BRANCA;402;0;0
2;LC;64089;A;6;0;;2.87437;0.428120;0.19261;AZUL;439;0;0
2;LC;64089;A;6;0;;2.87437;0.428120;0.19261;BRANCA;441;0;0
2;MT;11720;B;14;0;;1.54842;2.443180;0.17992;ROSA;405;;0
2;MT;17289;A;1;0;;1.57905;0.967150;0.19775;AZUL;445;;0
2;MT;27801;C;12;0;;1.15457;2.093500;0.19889;CINZA;444;;0
2;MT;27831;B;12;0;;1.54351;1.295780;0.17641;AMARELA;443;;0
2;MT;29384;B;21;0;;1.64642;3.163210;0.21047;VERDE;414;;1
2;MT;32541;E;18;0;;2.50805;2.201100;0.14073;ROSA;446;;0
2;MT;38563;E;24;0;;1.45491;0.581080;0.32767;CINZA;406;;0
2;MT;43906;C;12;0;;1.91773;3.705120;0.08701;AMARELA;404;;0
2;MT;43906;C;12;0;;1.91773;3.705120;0.08701;LARANJA;410;;1
2;MT;84945;D;23;0;;0.76406;4.655550;0.13227;AZUL;403;;0
3;CH;11098;D;19;0;;2.56549;1.181410;0.27398;ROSA;438;;0
3;CH;15471;B;18;0;;1.99275;1.898850;0.15561;AZUL;435;;0
3;CH;24935;E;13;0;;2.30323;1.651870;0.15989;ROSA;398;;0
3;CH;43284;D;23;0;;0.60432;3.259920;0.08798;AZUL;395;;0
3;CH;43284;D;23;0;;0.60432;3.259920;0.08798;LARANJA;408;;1
3;CH;49661;E;4;0;;2.76077;0.407080;0.15169;AMARELA;396;;0
3;CH;66754;D;21;0;;2.80900;-0.015600;0.15158;AMARELA;436;;0
3;CH;67329;A;12;0;;0.53807;1.556920;0.03894;BRANCA;397;;0
3;CH;85274;A;14;0;;1.77097;0.116580;0.21363;BRANCA;437;;0
3;CH;98011;C;2;0;;1.93988;0.550420;0.28457;VERDE;412;;1
3;CN;25499;B;5;0;;2.56786;2.054710;0.36085;ROSA;434;;0
3;CN;26499;E;3;0;;2.39733;1.615970;0.18759;AMARELA;431;;0
3;CN;29492;C;25;0;;2.33592;1.594960;0.15895;CINZA;432;;0
3;CN;43703;D;6;0;;4.93511;1.201980;0.19216;CINZA;393;;0
3;CN;48655;A;21;0;;2.90081;1.452950;0.15165;ROSA;394;;0
3;CN;49333;C;27;0;;2.87849;0.079260;0.15580;AZUL;433;;0
3;CN;81339;E;17;0;;2.23639;1.656160;0.24685;AZUL;391;;0
3;CN;83923;B;2;0;;1.47709;0.911910;0.34312;AMARELA;392;;0
3;CN;83923;B;2;0;;1.47709;0.911910;0.34312;LARANJA;407;;1
3;CN;95476;C;28;0;;2.25666;-0.105090;0.17833;VERDE;411;;1
3;LC;7463;C;5;0;;4.13584;0.876710;0.08482;AZUL;399;0;0
3;LC;7463;C;5;0;;4.13584;0.876710;0.08482;BRANCA;402;0;0
3;LC;7463;C;5;0;;4.13584;0.876710;0.08482;LARANJA;409;0;1
3;LC;18292;B;5;0;;3.76641;1.020640;0.26396;ROSA;442;0;0
3;LC;20054;D;6;0;;3.18070;0.678800;0.17823;VERDE;413;0;1
3;LC;23448;A;7;0;;2.29600;-0.141770;0.18738;AZUL;439;0;0
3;LC;37683;C;6;0;;3.23952;0.205850;0.20042;AMARELA;440;0;0
3;LC;42335;B;7;0;;3.56712;0.321620;0.20155;BRANCA;441;0;0
3;LC;54099;D;7;0;;3.09698;0.503240;0.23815;AMARELA;400;0;0
3;LC;54099;D;7;0;;3.09698;0.503240;0.23815;ROSA;401;0;0
3;MT;11758;B;8;0;;2.52165;1.591230;0.16603;AZUL;403;;0
3;MT;15011;D;28;0;;2.19070;1.426830;0.18552;ROSA;446;;0
3;MT;23077;E;25;0;;2.01461;1.555630;0.11850;CINZA;444;;0
3;MT;37469;D;13;0;;1.93126;2.392300;0.11964;AMARELA;443;;0
3;MT;42244;C;22;0;;1.85035;2.986330;0.21663;AZUL;445;;0
3;MT;61485;C;28;0;;1.60552;2.687050;0.25409;CINZA;406;;0
3;MT;79229;D;17;0;;1.99100;0.209970;0.14623;VERDE;414;;1
3;MT;86907;D;17;0;;1.35417;2.038990;0.09909;ROSA;405;;0
3;MT;96088;E;5;0;;2.74630;2.155920;0.06966;AMARELA;404;;0
3;MT;96088;E;5;0;;2.74630;2.155920;0.06966;LARANJA;410;;1
4;CH;20338;C;9;0;;2.08859;2.322420;0.25166;AZUL;435;;0
4;CH;27214;B;25;0;;2.18689;0.395730;0.19169;ROSA;398;;0
4;CH;49943;A;27;0;;3.84842;0.648100;0.14619;AMARELA;436;;0
4;CH;76970;A;14;0;;3.29925;0.723210;0.13557;AMARELA;396;;0
4;CH;81598;E;3;0;;1.85031;0.579250;0.11344;AZUL;395;;0
