CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;LC;10964;B;5;0;;2.57365;0.02319;0.20322;AMARELA;342;1;0
1;LC;10964;B;5;0;;2.57365;0.02319;0.20322;AMARELA;362;1;0
1;LC;10964;B;5;0;;2.57365;0.02319;0.20322;AZUL;341;1;0
1;LC;10964;B;5;0;;2.57365;0.02319;0.20322;AZUL;361;1;0
1;LC;23249;D;5;0;;3.30612;-0.06586;0.18546;CINZA;344;0;0
1;LC;23249;D;5;0;;3.30612;-0.06586;0.18546;CINZA;364;0;0
1;LC;23249;D;5;0;;3.30612;-0.06586;0.18546;CINZA;365;0;1
1;LC;23559;D;6;0;;4.59766;0.96572;0.13238;AMARELA;300;0;0
1;LC;23733;B;8;0;;2.52006;1.16097;0.1191;ROSA;301;1;0
1;LC;27055;E;7;0;;3.26792;0.40842;0.24997;ROSA;301;0;0
1;LC;27082;A;7;0;;1.82662;0.94596;0.38473;AZUL;341;0;0
1;LC;27082;A;7;0;;1.82662;0.94596;0.38473;AZUL;361;0;0
1;LC;27082;A;7;0;;1.82662;0.94596;0.38473;ROSA;343;0;0
1;LC;27082;A;7;0;;1.82662;0.94596;0.38473;ROSA;363;0;0
1;LC;29129;C;7;0;;2.3591;1.60886;0.12991;CINZA;344;1;0
1;LC;29129;C;7;0;;2.3591;1.60886;0.12991;CINZA;364;1;0
1;LC;29129;C;7;0;;2.3591;1.60886;0.12991;CINZA;365;1;1
1;LC;29129;C;7;0;;2.3591;1.60886;0.12991;ROSA;343;1;0
1;LC;29129;C;7;0;;2.3591;1.60886;0.12991;ROSA;363;1;0
1;LC;30170;E;8;0;;3.33756;1.09342;0.13912;CINZA;302;0;0
1;LC;30170;E;8;0;;3.33756;1.09342;0.13912;CINZA;309;0;1
1;LC;39570;C;6;0;;3.39249;1.09008;0.0732;AZUL;299;0;0
1;LC;42492;C;8;0;;1.61211;1.25448;0.18026;AMARELA;342;0;0
1;LC;42492;C;8;0;;1.61211;1.25448;0.18026;AMARELA;362;0;0
1;LC;54904;C;6;0;;2.68534;0.99258;0.15497;CINZA;302;1;0
1;LC;54904;C;6;0;;2.68534;0.99258;0.15497;CINZA;309;1;1
1;LC;55307;C;5;0;;1.56923;0.8287;0.0376;AMARELA;300;1;0
1;LC;55307;C;5;0;;1.56923;0.8287;0.0376;AZUL;299;1;0
2;LC;10964;B;5;0;;2.57365;0.02319;0.20322;CINZA;344;1;0
2;LC;10964;B;5;0;;2.57365;0.02319;0.20322;CINZA;364;1;0
2;LC;10964;B;5;0;;2.57365;0.02319;0.20322;CINZA;365;1;1
2;LC;10964;B;5;0;;2.57365;0.02319;0.20322;ROSA;343;1;0
2;LC;10964;B;5;0;;2.57365;0.02319;0.20322;ROSA;363;1;0
2;LC;20069;D;6;0;;2.63816;0.07937;0.20983;CINZA;344;0;0
2;LC;20069;D;6;0;;2.63816;0.07937;0.20983;CINZA;364;0;0
2;LC;20069;D;6;0;;2.63816;0.07937;0.20983;CINZA;365;0;1
2;LC;23249;D;5;0;;3.30612;-0.06586;0.18546;AMARELA;342;0;0
2;LC;23249;D;5;0;;3.30612;-0.06586;0.18546;AMARELA;362;0;0
2;LC;23249;D;5;0;;3.30612;-0.06586;0.18546;ROSA;343;0;0
2;LC;23249;D;5;0;;3.30612;-0.06586;0.18546;ROSA;363;0;0
2;LC;23559;D;6;0;;4.59766;0.96572;0.13238;CINZA;302;0;0
2;LC;23559;D;6;0;;4.59766;0.96572;0.13238;CINZA;309;0;1
2;LC;25150;B;5;0;;2.55296;2.16286;0.18704;AZUL;341;0;0
2;LC;25150;B;5;0;;2.55296;2.16286;0.18704;AZUL;361;0;0
2;LC;27055;E;7;0;;3.26792;0.40842;0.24997;AZUL;299;0;0
2;LC;29129;C;7;0;;2.3591;1.60886;0.12991;AMARELA;342;1;0
2;LC;29129;C;7;0;;2.3591;1.60886;0.12991;AMARELA;362;1;0
2;LC;29129;C;7;0;;2.3591;1.60886;0.12991;AZUL;341;1;0
2;LC;29129;C;7;0;;2.3591;1.60886;0.12991;AZUL;361;1;0
2;LC;30170;E;8;0;;3.33756;1.09342;0.13912;AMARELA;300;0;0
2;LC;30170;E;8;0;;3.33756;1.09342;0.13912;ROSA;301;0;0
2;LC;54904;C;6;0;;2.68534;0.99258;0.15497;AMARELA;300;1;0
2;LC;54904;C;6;0;;2.68534;0.99258;0.15497;AZUL;299;1;0
2;LC;55307;C;5;0;;1.56923;0.8287;0.0376;CINZA;302;1;0
2;LC;55307;C;5;0;;1.56923;0.8287;0.0376;CINZA;309;1;1
2;LC;55970;B;7;0;;1.34437;1.3475;0.10395;ROSA;301;1;0
3;LC;20069;D;6;0;;2.63816;0.07937;0.20983;AMARELA;342;0;0
3;LC;20069;D;6;0;;2.63816;0.07937;0.20983;AMARELA;362;0;0
3;LC;22565;E;5;0;;1.75664;1.92813;0.19153;AMARELA;300;1;0
3;LC;22565;E;5;0;;1.75664;1.92813;0.19153;ROSA;301;1;0
3;LC;23118;C;6;0;;2.75666;1.0052;0.10659;CINZA;344;1;0
3;LC;23118;C;6;0;;2.75666;1.0052;0.10659;CINZA;364;1;0
3;LC;23118;C;6;0;;2.75666;1.0052;0.10659;CINZA;365;1;1
3;LC;23118;C;6;0;;2.75666;1.0052;0.10659;ROSA;343;1;0
3;LC;23118;C;6;0;;2.75666;1.0052;0.10659;ROSA;363;1;0
3;LC;23477;D;5;0;;2.55736;1.05023;0.18175;AMARELA;342;1;0
3;LC;23477;D;5;0;;2.55736;1.05023;0.18175;AMARELA;362;1;0
