question,answer,test
91,D,
92,C,
93,A,
94,D,
95,C,
96,A,
97,B,
98,B,
99,B,
100,C,
101,C,
102,D,
103,B,
104,D,
105,C,
106,E,
107,B,
108,D,
109,D,
110,E,
111,A,
112,A,
113,C,
114,E,
115,A,
116,A,
117,B,
118,D,
119,A,
120,B,
121,A,
122,E,
123,C,
124,D,
125,C,
126,A,
127,C,
128,B,
129,A,
130,B,
131,D,
132,B,
133,E,
134,D,
135,E,
136,D,
137,E,
138,D,
139,B,
140,A,
141,B,
142,A,
143,C,
144,B,
145,A,
146,C,
147,D,
148,E,
149,C,
150,B,
151,E,
152,D,
153,B,
154,A,
155,D,
156,C,
157,C,
158,E,
159,D,
160,C,
161,B,
162,D,
163,A,
164,D,
165,C,
166,B,
167,D,
168,C,
169,B,
170,A,
171,C,
172,B,
173,D,
174,D,
175,B,
176,D,
177,E,
178,B,
179,D,
180,C,
