CO_ITEM,NSE_LEVEL,TX_GABARITO,answer_distribution,correct_probability
10409,5,E,[0.11549776 0.28184995 0.08385863 0.1149083  0.40097755 0.00290782],0.4009775468819188
10409,6,E,[0.09789615 0.28571882 0.07623706 0.09743772 0.43994203 0.00276822],0.43994202612350836
10409,7,E,[0.07550835 0.28225378 0.06968766 0.07720255 0.49276238 0.00258527],0.49276238044064385
10409,8,E,[0.05844386 0.27832658 0.06186784 0.06263529 0.53614861 0.00257783],0.5361486087606754
10500,1,B,[0.22010132 0.17767324 0.23665641 0.21309028 0.14772933 0.00474941],0.17767324045594354
10500,2,B,[0.20107139 0.18345357 0.24666866 0.22730858 0.1379214  0.00357641],0.18345356798235538
10500,3,B,[0.18309636 0.18198696 0.25580899 0.24008008 0.13540508 0.00362253],0.18198695888426009
10500,4,B,[0.1699641  0.18072559 0.26304912 0.2496376  0.13296282 0.00366077],0.1807255863467005
10500,5,B,[0.15622374 0.18194329 0.26742415 0.25804723 0.13236265 0.00399894],0.18194329289271674
10500,6,B,[0.14523778 0.18706827 0.27269682 0.25996396 0.13106979 0.00396337],0.18706826941046625
10500,7,B,[0.13874134 0.20432044 0.27080585 0.25428583 0.12695171 0.00489482],0.20432044236924524
10500,8,B,[0.13380559 0.2354388  0.2686344  0.23595041 0.12115309 0.00501771],0.2354388036206218
10776,1,B,[0.12488692 0.45603401 0.100778   0.16844581 0.14420119 0.00565406],0.4560340148362584
10776,2,B,[0.11068097 0.51788969 0.08657278 0.15702492 0.12315245 0.0046792 ],0.5178896904532158
10776,3,B,[0.10118832 0.56360131 0.07590499 0.14644733 0.10832988 0.00452817],0.5636013144616658
10776,4,B,[0.09208559 0.5999564  0.06588544 0.14143101 0.09624466 0.00439689],0.5999563991347776
10776,5,B,[0.08699809 0.62676751 0.06161131 0.13429443 0.08626203 0.00406662],0.6267675143967467
10776,6,B,[0.08334714 0.64858585 0.05629115 0.12830883 0.07949308 0.00397395],0.6485858454073915
10776,7,B,[0.07806471 0.6703416  0.0496174  0.12448136 0.07373203 0.00376289],0.6703416048122187
10776,8,B,[0.0735734  0.68433688 0.04565132 0.12402597 0.06837859 0.00403384],0.6843368752459662
10992,1,A,[0.         0.33333333 0.33333333 0.33333333 0.         0.        ],0.0
10992,2,A,[0.08860759 0.25316456 0.25316456 0.25316456 0.15189873 0.        ],0.08860759493670886
10992,3,A,[0.11392405 0.39240506 0.20253165 0.16455696 0.12658228 0.        ],0.11392405063291139
10992,4,A,[0.10606061 0.34848485 0.25757576 0.1969697  0.09090909 0.        ],0.10606060606060606
10992,5,A,[0.18181818 0.33333333 0.33333333 0.15151515 0.         0.        ],0.18181818181818182
10992,6,A,[0.0952381  0.52380952 0.14285714 0.19047619 0.04761905 0.        ],0.09523809523809523
10992,7,A,[0.05 0.45 0.2  0.3  0.   0.  ],0.05
10992,8,A,[0.  0.5 0.  0.  0.5 0. ],0.0
14797,1,D,[0.26881672 0.30884748 0.22064411 0.12941017 0.06771305 0.00456848],0.1294101682648815
14797,2,D,[0.25859639 0.31440595 0.23489792 0.1260779  0.06156091 0.00446094],0.12607789979935363
14797,3,D,[0.2486836  0.31742761 0.24167464 0.12788509 0.05999172 0.00433734],0.12788508810515695
14797,4,D,[0.24137609 0.31541829 0.24596834 0.13316384 0.05948404 0.00458942],0.13316383732913556
14797,5,D,[0.23479247 0.3089618  0.25029188 0.14194826 0.05866428 0.00534132],0.1419482563156737
14797,6,D,[0.22364129 0.29393823 0.25492512 0.16100664 0.06100206 0.00548666],0.16100663970352297
14797,7,D,[0.2033606  0.26734888 0.25291299 0.20743707 0.06299785 0.00594262],0.20743706525022848
14797,8,D,[0.18368752 0.23398268 0.24512003 0.26406926 0.06711924 0.00602125],0.26406926406926406
16785,1,D,[0.09090909 0.27272727 0.09090909 0.27272727 0.27272727 0.        ],0.2727272727272727
16785,2,D,[0.12101911 0.21656051 0.22929936 0.31847134 0.10828025 0.00636943],0.3184713375796178
16785,3,D,[0.08235294 0.2        0.22941176 0.32352941 0.15882353 0.00588235],0.3235294117647059
16785,4,D,[0.15841584 0.18811881 0.17821782 0.2970297  0.17326733 0.0049505 ],0.297029702970297
16785,5,D,[0.16326531 0.18367347 0.19047619 0.28571429 0.17006803 0.00680272],0.2857142857142857
16785,6,D,[0.07954545 0.13636364 0.28409091 0.26136364 0.22727273 0.01136364],0.26136363636363635
16785,7,D,[0.05970149 0.14925373 0.29850746 0.35820896 0.13432836 0.        ],0.3582089552238806
16785,8,D,[0.08333333 0.25       0.16666667 0.16666667 0.33333333 0.        ],0.16666666666666666
18228,1,D,[0.197666   0.30369097 0.19142392 0.18454858 0.11982088 0.00284965],0.18454857969965624
18228,2,D,[0.17962444 0.30981099 0.18546769 0.19268177 0.12965431 0.0027608 ],0.19268176875124446
18228,3,D,[0.15888685 0.31291886 0.18296051 0.20643258 0.13614252 0.00265868],0.20643258208916604
18228,4,D,[0.14015413 0.31197268 0.17540005 0.22790229 0.14207936 0.00249148],0.22790228876230167
18228,5,D,[0.12210867 0.31618132 0.16566552 0.24717282 0.14660993 0.00226174],0.2471728230032093
18228,6,D,[0.09850245 0.32392092 0.14968071 0.27785202 0.14792117 0.00212273],0.27785202241208473
18228,7,D,[0.06730758 0.33246527 0.12271464 0.33241173 0.14310844 0.00199234],0.33241173073907937
18228,8,D,[0.04606454 0.33229044 0.10007871 0.38748524 0.13189689 0.00218418],0.38748524203069656
19807,1,E,[0.08793197 0.17459743 0.40641397 0.20445088 0.12280622 0.00379953],0.12280622399131536
19807,2,E,[0.08255985 0.17347103 0.45331909 0.18979461 0.09781127 0.00304416],0.0978112698923249
19807,3,E,[0.07612816 0.16963154 0.49381259 0.17570898 0.08186276 0.00285598],0.08186275778197531
19807,4,E,[0.07028516 0.16302194 0.52525453 0.16325976 0.0755116  0.00266701],0.07551160236010918
19807,5,E,[0.0651139  0.15297213 0.55514194 0.15052708 0.07372657 0.00251837],0.07372657179760515
19807,6,E,[0.05832572 0.1376425  0.57074652 0.14635204 0.08449666 0.00243656],0.08449666251758657
19807,7,E,[0.04900555 0.11212577 0.56285444 0.14737611 0.12583891 0.00279922],0.12583890692578614
19807,8,E,[0.0408107  0.08364817 0.52325856 0.16214089 0.18760331 0.00253837],0.18760330578512396
26545,1,C,[0.3059526  0.22548399 0.10783427 0.13904469 0.21612086 0.0055636 ],0.10783426813823051
26545,2,C,[0.31539769 0.1982072  0.10473816 0.14189603 0.23551823 0.00424267],0.10473816416241634
26545,3,C,[0.31581365 0.17803128 0.11289039 0.1477702  0.2416326  0.00386188],0.11289039252723368
26545,4,C,[0.30735779 0.15838439 0.12682189 0.155103   0.24847397 0.00385896],0.12682189329679167
26545,5,C,[0.29659272 0.13911967 0.14975155 0.15800606 0.25283    0.00370001],0.14975154683948402
26545,6,C,[0.28305659 0.11968744 0.18896885 0.15659192 0.2483771  0.00331809],0.18896885369027175
26545,7,C,[0.25544071 0.09498625 0.26313092 0.14778529 0.2356664  0.00299043],0.2631309249295414
26545,8,C,[0.22632822 0.07552145 0.33854782 0.13799685 0.21896891 0.00263676],0.3385478158205431
28034,1,A,[0.24466257 0.27410892 0.19906821 0.15415234 0.12497738 0.00303058],0.2446625655871178
28034,2,A,[0.25557521 0.29045092 0.17870545 0.15154544 0.12129149 0.0024315 ],0.2555752117508309
28034,3,A,[0.26911209 0.30799286 0.16428507 0.1406254  0.11571726 0.00226732],0.269112091494812
28034,4,A,[0.2850449  0.32119682 0.14787488 0.12939548 0.11437583 0.00211209],0.285044903228729
28034,5,A,[0.30670852 0.33059217 0.13316638 0.11701552 0.11028387 0.00223354],0.3067085173465992
28034,6,A,[0.33620243 0.32811701 0.11834046 0.1058368  0.1093982  0.0021051 ],0.336202428093386
28034,7,A,[0.3858991  0.306756   0.1006     0.09152929 0.11307414 0.00214148],0.3858990979001992
28034,8,A,[0.43317591 0.27542306 0.08844943 0.08292011 0.11822117 0.00181031],0.4331759149940968
28632,1,C,[0.24194862 0.18961462 0.17563778 0.23561607 0.15437851 0.00280441],0.1756377781798444
28632,2,C,[0.23882277 0.19257455 0.16583957 0.23808375 0.1620564  0.00262295],0.1658395748135214
28632,3,C,[0.23114019 0.20483479 0.16189161 0.23246306 0.16724131 0.00242904],0.16189160866302688
28632,4,C,[0.22138481 0.21481354 0.1626199  0.22693684 0.17176759 0.00247732],0.1626199023793615
28632,5,C,[0.20996125 0.22804954 0.16802315 0.21813962 0.17314732 0.00267912],0.16802314759979017
28632,6,C,[0.19005138 0.24075713 0.18443425 0.20670176 0.17557308 0.0024824 ],0.18443425000969685
28632,7,C,[0.15607588 0.25264913 0.22037774 0.19357861 0.17476033 0.00255831],0.22037774234132948
28632,8,C,[0.13095238 0.25301063 0.2677686  0.17615112 0.16922471 0.00289256],0.26776859504132233
28683,1,A,[0.28745251 0.22991677 0.19413787 0.19522345 0.08775104 0.00551836],0.28745250588022436
28683,2,A,[0.27734764 0.23906784 0.19839483 0.19620074 0.08528619 0.00370277],0.2773476389590896
28683,3,A,[0.26464538 0.24802054 0.1977094  0.20570808 0.08050107 0.00341553],0.2646453799777473
28683,4,A,[0.25651182 0.25463472 0.18976852 0.21730784 0.07809934 0.00367776],0.2565118175332103
28683,5,A,[0.25058236 0.26470837 0.18038658 0.2262362  0.07443724 0.00364924],0.2505823561594387
28683,6,A,[0.25973124 0.27526737 0.16140157 0.22874008 0.0712913  0.00356844],0.2597312383417314
28683,7,A,[0.29936023 0.28832012 0.12994979 0.21534908 0.06338025 0.00364052],0.29936023189203864
28683,8,A,[0.35893349 0.29545455 0.10145612 0.18358914 0.05680834 0.00375836],0.3589334907516726
30053,1,C,[0.14071829 0.25104035 0.24918582 0.21286412 0.14248236 0.00370906],0.24918581508956034
30053,2,C,[0.13049289 0.25221324 0.25462176 0.22403085 0.13568901 0.00295226],0.25462175864234404
30053,3,C,[0.11738621 0.24699524 0.2699304  0.2317806  0.1311583  0.00274924],0.26993039563226123
30053,4,C,[0.10806786 0.24317109 0.28365194 0.23463777 0.12771939 0.00275195],0.2836519405216249
30053,5,C,[0.09783301 0.23698935 0.30605425 0.23389285 0.12231735 0.00291319],0.30605424795681824
30053,6,C,[0.08941561 0.22530915 0.33976382 0.22547488 0.11720505 0.00283148],0.3397638197865281
30053,7,C,[0.08032092 0.20566652 0.40361222 0.19867228 0.10902062 0.00270745],0.4036122232802169
30053,8,C,[0.0684573  0.18051948 0.48437623 0.16261314 0.10096419 0.00306966],0.4843762298307753
30327,1,D,[0.34467161 0.11362403 0.1421205  0.32305048 0.07250769 0.00402569],0.32305047946444726
30327,2,D,[0.31669194 0.09719095 0.13684541 0.37302991 0.07286832 0.00337346],0.37302991315535544
30327,3,D,[0.27342679 0.08584431 0.12845434 0.43995006 0.06917419 0.00315031],0.43995006080678967
30327,4,D,[0.23219726 0.07344764 0.11775348 0.50974225 0.06413291 0.00272647],0.5097422452746855
30327,5,D,[0.19131175 0.06064682 0.10462106 0.58137758 0.05946801 0.00257478],0.5813775754806906
30327,6,D,[0.14620394 0.04789543 0.08930278 0.66410435 0.05035314 0.00214036],0.6641043452504787
30327,7,D,[0.09564017 0.03345685 0.06834008 0.76218447 0.03824842 0.00213001],0.7621844658337826
30327,8,D,[0.05885478 0.02394726 0.05094451 0.83642267 0.02819756 0.00163322],0.8364226682408501
30493,1,D,[0.15338339 0.1547856  0.20196309 0.22530306 0.25995115 0.00461371],0.22530305771666365
30493,2,D,[0.14844384 0.15984316 0.19605523 0.2421656  0.25022592 0.00326625],0.24216560216881863
30493,3,D,[0.15577535 0.1593429  0.18602026 0.2603792  0.23536109 0.0031212 ],0.2603792014904132
30493,4,D,[0.16988483 0.15683288 0.17397878 0.2800761  0.21649245 0.00273496],0.2800761033283881
30493,5,D,[0.18647806 0.15142388 0.16155378 0.30450036 0.19327738 0.00276654],0.3045003581560884
30493,6,D,[0.20979065 0.14344651 0.14357698 0.33718269 0.1632951  0.00270807],0.3371826923415974
30493,7,D,[0.24050004 0.12814483 0.11799572 0.39102336 0.11978157 0.00255448],0.39102336128733733
30493,8,D,[0.2678473  0.11103896 0.09484455 0.44146006 0.08254624 0.00226289],0.4414600550964187
31313,1,D,[0.36973041 0.09711417 0.14424643 0.21815632 0.16681744 0.00393523],0.21815632350280442
31313,2,D,[0.36840815 0.09273767 0.16351529 0.22522171 0.14735254 0.00276463],0.2252217065661903
31313,3,D,[0.35773799 0.08616451 0.18263384 0.24328861 0.12779129 0.00238376],0.24328861231143425
31313,4,D,[0.34515181 0.07609767 0.19916252 0.26277166 0.11457118 0.00224516],0.26277165604013547
31313,5,D,[0.32744209 0.06851216 0.21398557 0.28724682 0.10081953 0.00199383],0.2872468231272949
31313,6,D,[0.29766535 0.05873475 0.2348156  0.31960141 0.08738456 0.00179833],0.31960140622079924
31313,7,D,[0.25417111 0.04859255 0.256282   0.36761619 0.07150642 0.00183173],0.36761618502414906
31313,8,D,[0.21277056 0.04171586 0.27304211 0.41090122 0.05968123 0.00188902],0.4109012199921291
31381,1,C,[0.13854713 0.3021983  0.17020988 0.19486159 0.19151438 0.00266872],0.17020987877691335
31381,2,C,[0.1228576  0.30636095 0.17015117 0.20329994 0.19482991 0.00250042],0.170151174010936
31381,3,C,[0.11435234 0.29982275 0.17941884 0.21385877 0.19018294 0.00236435],0.1794188423422258
31381,4,C,[0.10393993 0.29205502 0.19341514 0.22405465 0.18416269 0.00237257],0.1934151368614172
31381,5,C,[0.09642295 0.28093256 0.21218351 0.23041563 0.17740007 0.00264528],0.21218351128332685
31381,6,C,[0.0892781  0.26484765 0.24058082 0.23446651 0.16836215 0.00246477],0.24058082419771717
31381,7,C,[0.0801909  0.24102393 0.28423601 0.23791496 0.15378909 0.00284511],0.2842360067456721
31381,8,C,[0.07133018 0.21001574 0.33593074 0.23937426 0.13974813 0.00360094],0.3359307359307359
31516,1,A,[0.24116716 0.13060394 0.25057679 0.21900023 0.1544447  0.00420719],0.2411671567518661
31516,2,A,[0.24252232 0.12443455 0.26671059 0.21631932 0.1470141  0.00299912],0.24252232100108398
31516,3,A,[0.25598113 0.11803738 0.28159769 0.20947146 0.13202328 0.00288906],0.2559811321365138
31516,4,A,[0.27743828 0.10953225 0.29513108 0.19852013 0.11658332 0.00279494],0.277438281918117
31516,5,A,[0.30650015 0.09957666 0.30620683 0.18375117 0.10122095 0.00274424],0.3065001508908199
31516,6,A,[0.35031879 0.08687618 0.31237834 0.16557113 0.08222134 0.00263421],0.35031878579287384
31516,7,A,[0.42114723 0.06943908 0.30530325 0.14077887 0.06072717 0.0026044 ],0.42114723440708884
31516,8,A,[0.50092487 0.05214688 0.2795663  0.12027234 0.04472825 0.00236137],0.5009248691408557
32369,1,D,[0.26040347 0.22571015 0.22742898 0.18726253 0.09449068 0.00470418],0.18726252940112176
32369,2,D,[0.27262632 0.23208351 0.22501493 0.18375224 0.08286618 0.00365682],0.1837522400404356
32369,3,D,[0.28330142 0.23589477 0.2207901  0.18107809 0.07538425 0.00355138],0.18107809144306156
32369,4,D,[0.29460878 0.23963772 0.21419916 0.17912594 0.06883557 0.00359282],0.1791259442135423
32369,5,D,[0.30196788 0.23921161 0.20589181 0.18475496 0.06405072 0.00412303],0.18475495919276694
32369,6,D,[0.30128316 0.23646936 0.19653593 0.20198733 0.05932009 0.00440414],0.20198732708738104
32369,7,D,[0.28816716 0.2261521  0.1801408  0.2444809  0.05632101 0.00473803],0.24448090064665146
32369,8,D,[0.25749705 0.21086187 0.16273121 0.30977961 0.05440771 0.00472255],0.3097796143250689
37769,1,B,[0.1474127  0.25230686 0.32273385 0.14438212 0.13008866 0.00307581],0.2523068572462457
37769,2,B,[0.14915223 0.26720045 0.31236885 0.13924627 0.12972323 0.00230896],0.26720044724226133
37769,3,B,[0.14691309 0.27343972 0.3115507  0.13594846 0.13018475 0.00196328],0.27343972365254743
37769,4,B,[0.14856853 0.27800931 0.3108317  0.13000419 0.13061007 0.0019762 ],0.2780093090678475
37769,5,B,[0.14624613 0.2782337  0.3179439  0.12506134 0.1304788  0.00203613],0.27823369825772576
37769,6,B,[0.14229699 0.27867008 0.32523264 0.1235944  0.12811842 0.00208747],0.2786700846623906
37769,7,B,[0.13334939 0.27838899 0.33803312 0.12261903 0.12518117 0.00242829],0.27838899277631823
37769,8,B,[0.12534435 0.27695789 0.34529713 0.12436049 0.12552145 0.00251869],0.27695789059425424
39101,1,E,[0.48172607 0.13144563 0.07033653 0.07802605 0.23344491 0.00502081],0.23344490682106026
39101,2,E,[0.50914396 0.10572608 0.06169493 0.07456846 0.24392317 0.00494341],0.2439231723567523
39101,3,E,[0.52152172 0.08570523 0.05262375 0.07253474 0.26275002 0.00486454],0.26275001940642223
39101,4,E,[0.52941077 0.06916966 0.04403121 0.06674047 0.28592825 0.00471965],0.28592824543323403
39101,5,E,[0.528472   0.05691016 0.03800967 0.0632075  0.30885745 0.00454322],0.30885745387682817
39101,6,E,[0.51449063 0.04595253 0.03336777 0.05894632 0.34285976 0.00438298],0.3428597622682892
39101,7,E,[0.47219705 0.03693294 0.02908211 0.05431719 0.40332924 0.00414148],0.40332924157077793
39101,8,E,[0.42136954 0.03083432 0.02823691 0.0485242  0.46700118 0.00403384],0.46700118063754426
39443,1,X,[0.18368916 0.11470961 0.20562692 0.32481455 0.16636512 0.00479464],0.0
39443,2,X,[0.1969972  0.10429781 0.19853651 0.32855841 0.16796474 0.00364533],0.0
39443,3,X,[0.1979164  0.09765959 0.1866348  0.34447693 0.16945688 0.00385541],0.0
39443,4,X,[0.18940612 0.09103238 0.17740173 0.36438715 0.17415148 0.00362114],0.0
39443,5,X,[0.18210686 0.08256203 0.1607444  0.38838785 0.18212096 0.0040779 ],0.0
39443,6,X,[0.16680007 0.074084   0.14091827 0.42051573 0.19382434 0.00385759],0.0
39443,7,X,[0.14221743 0.06514315 0.11523092 0.46086631 0.21243896 0.00410323],0.0
39443,8,X,[0.11532861 0.05968123 0.09815033 0.49118457 0.23097206 0.0046832 ],0.0
40571,1,E,[0.18181818 0.27272727 0.36363636 0.09090909 0.09090909 0.        ],0.09090909090909091
40571,2,E,[0.31210191 0.35031847 0.1910828  0.05732484 0.08917197 0.        ],0.08917197452229299
40571,3,E,[0.26627219 0.30769231 0.18934911 0.07692308 0.15384615 0.00591716],0.15384615384615385
40571,4,E,[0.25742574 0.3019802  0.21287129 0.06930693 0.15841584 0.        ],0.15841584158415842
40571,5,E,[0.23648649 0.27702703 0.23648649 0.08108108 0.16891892 0.        ],0.16891891891891891
40571,6,E,[0.30681818 0.22727273 0.26136364 0.04545455 0.15909091 0.        ],0.1590909090909091
40571,7,E,[0.19402985 0.26865672 0.29850746 0.05970149 0.17910448 0.        ],0.1791044776119403
40571,8,E,[0.16666667 0.33333333 0.33333333 0.         0.16666667 0.        ],0.16666666666666666
41054,1,A,[0.37461552 0.10561788 0.1564592  0.18432242 0.17437127 0.00461371],0.3746155237922924
41054,2,A,[0.3940212  0.09898298 0.15676837 0.18143945 0.16598125 0.00280675],0.3940211980578658
41054,3,A,[0.424564   0.09657929 0.15508642 0.17058892 0.15080084 0.00238052],0.4245640023805211
41054,4,A,[0.4508924  0.09586528 0.15440935 0.16125525 0.13528726 0.00229046],0.45089240212455123
41054,5,A,[0.47428891 0.09750024 0.15424965 0.15375613 0.11813511 0.00206997],0.4742889050576152
41054,6,A,[0.4949735  0.09968723 0.15729715 0.14880975 0.09710963 0.00212273],0.4949735011301248
41054,7,A,[0.50444167 0.10781986 0.16412174 0.14893633 0.07296339 0.00171701],0.5044416656150454
41054,8,A,[0.50497835 0.11416765 0.17626919 0.14759937 0.05507674 0.0019087 ],0.504978354978355
41810,1,A,[0.41888039 0.1652713  0.16151514 0.09340634 0.15581301 0.00511382],0.4188803910033036
41810,2,A,[0.44549979 0.14780133 0.15840674 0.09370534 0.15013467 0.00445212],0.4454997911869394
41810,3,A,[0.47732083 0.13494884 0.14807156 0.09785571 0.13760251 0.00420057],0.4773208287217724
41810,4,A,[0.50312746 0.12645254 0.13599923 0.1058266  0.12451488 0.0040793 ],0.5031274610342151
41810,5,A,[0.52999743 0.11641515 0.12423014 0.11465466 0.1108177  0.00388492],0.5299974326203918
41810,6,A,[0.55246571 0.10814471 0.11232448 0.12595367 0.09738315 0.00372828],0.5524657065560529
41810,7,A,[0.57966829 0.09426088 0.09463956 0.14574615 0.08239556 0.00328955],0.5796682910409511
41810,8,A,[0.60256259 0.08185719 0.07833412 0.1645607  0.06924106 0.00344434],0.6025625885687294
42674,1,B,[0.21367831 0.34512394 0.12561064 0.23154514 0.07974489 0.00429709],0.3451239370363669
42674,2,B,[0.20286342 0.38941093 0.13059244 0.20034768 0.07309041 0.00369511],0.389410926802371
42674,3,B,[0.18264678 0.44124059 0.13549564 0.16831837 0.06919036 0.00310826],0.4412405878852175
42674,4,B,[0.1605248  0.4875058  0.14172829 0.14056183 0.06664137 0.0030379 ],0.4875058040112796
42674,5,B,[0.1375827  0.53718901 0.14081175 0.11871887 0.06305521 0.00264246],0.5371890105303531
42674,6,B,[0.11183123 0.58734754 0.13683149 0.0997366  0.06179544 0.00245771],0.5873475389372949
42674,7,B,[0.08074157 0.65373746 0.12223663 0.08318133 0.05780475 0.00229827],0.6537374618070294
42674,8,B,[0.0551161  0.70084612 0.11127509 0.07375049 0.05692641 0.00208579],0.7008461235733963
42940,1,D,[0.14166817 0.13479284 0.1184639  0.51090103 0.08820337 0.00597069],0.5109010313008866
