CO_ITEM,TP_SEXO,TX_GABARITO,answer_distribution,correct_probability
83901,F,B,[0.09012665 0.2908704  0.49879494 0.08431102 0.03457796 0.00131905],0.2908703959572476
83901,M,B,[0.09749612 0.32907584 0.4892949  0.05331128 0.02918697 0.00163489],0.3290758395372503
84199,F,A,[0.38658733 0.13628628 0.1690649  0.10837315 0.19315924 0.0065291 ],0.3865873267230248
84199,M,A,[0.33514943 0.12804349 0.1963379  0.12743426 0.2063762  0.00665872],0.33514942959670074
85013,F,B,[0.20967776 0.22049636 0.22758667 0.15099851 0.18787    0.0033707 ],0.22049636479436466
85013,M,B,[0.20055166 0.24219512 0.22329816 0.155064   0.17470944 0.00418162],0.24219511541963473
85228,F,C,[0.20403527 0.21738321 0.24534332 0.19143908 0.13750439 0.00429473],0.24534331724260341
85228,M,C,[0.18127979 0.24965454 0.24437898 0.19137298 0.12768063 0.00563307],0.24437898345027048
85343,F,D,[0.14168427 0.27546558 0.29161519 0.14113438 0.1454178  0.00468279],0.1411343790567607
85343,M,D,[0.12951368 0.2765358  0.30611242 0.15827754 0.12404129 0.00551925],0.1582775427132987
85445,F,E,[0.14888769 0.19904535 0.23410011 0.23280543 0.1823589  0.00280254],0.1823588986840869
85445,M,E,[0.12814793 0.22579    0.21010257 0.23428981 0.19866236 0.00300734],0.1986623640940496
85588,F,B,[0.12629338 0.58748769 0.13809779 0.10351548 0.04199541 0.00261025],0.5874876883294063
85588,M,B,[0.09635263 0.65961518 0.12245059 0.08295217 0.03562343 0.003006  ],0.6596151786192491
85860,F,C,[0.16830445 0.1476165  0.17244866 0.17945978 0.329978   0.00219261],0.17244865641825224
85860,M,C,[0.17910128 0.17134326 0.18183547 0.17076348 0.29414466 0.00281185],0.18183546676664344
86438,F,A,[0.18897638 0.2519685  0.21259843 0.20472441 0.13385827 0.00787402],0.1889763779527559
86438,M,A,[0.27272727 0.22159091 0.14772727 0.20454545 0.14772727 0.00568182],0.2727272727272727
86466,F,C,[0.17634924 0.23209805 0.24749851 0.23607781 0.10449084 0.00348555],0.24749851215853602
86466,M,C,[0.15373038 0.23891864 0.23300573 0.26790879 0.10246639 0.00397006],0.23300573081248996
86499,F,B,[0.1824346  0.2172788  0.2176364  0.21986729 0.15893801 0.0038449 ],0.2172787988681964
86499,M,B,[0.18206175 0.21085641 0.20806331 0.22101655 0.17327674 0.00472524],0.21085640833377967
86703,F,A,[0.43385022 0.17924922 0.09386539 0.12405466 0.16542361 0.0035569 ],0.43385022047896316
86703,M,A,[0.42260725 0.19674361 0.09334262 0.13552568 0.14794333 0.0038375 ],0.42260725188795456
86840,F,C,[0.23792412 0.19831274 0.29371035 0.16615274 0.09973323 0.00416683],0.29371034597969575
86840,M,C,[0.24975631 0.21313534 0.2730451  0.15656499 0.10213834 0.00535992],0.2730450966739864
87207,F,E,[0.26889907 0.12928733 0.07380999 0.27965416 0.24147058 0.00687887],0.24147057902265348
87207,M,E,[0.2740279  0.11735445 0.07295271 0.25210487 0.27700311 0.00655696],0.27700310642172354
87998,F,E,[0.36691911 0.11628221 0.38484281 0.05267046 0.07729032 0.0019951 ],0.07729031876350803
87998,M,E,[0.38426303 0.10045525 0.31083097 0.0422634  0.15985753 0.00232982],0.15985753307267955
88045,F,D,[0.17385558 0.04578984 0.14725454 0.5564588  0.07115276 0.00548848],0.5564587981025236
88045,M,D,[0.14319667 0.05128675 0.13476782 0.60186653 0.06335226 0.00552997],0.6018665309838788
88655,F,D,[0.13885998 0.1062545  0.34371748 0.25054641 0.15881794 0.00180368],0.2505464119528485
88655,M,D,[0.14454502 0.12201409 0.29179208 0.31966151 0.11984361 0.0021437 ],0.31966150715012587
89149,F,A,[0.47505734 0.09080444 0.19884088 0.08683078 0.14382119 0.00464537],0.47505733845174
89149,M,A,[0.44976568 0.09666863 0.20371967 0.0859488  0.15937818 0.00451904],0.44976567939585455
89554,F,D,[0.19498119 0.24715309 0.31350821 0.18383804 0.05721577 0.0033037 ],0.1838380393207786
89554,M,D,[0.16651492 0.31562851 0.28952922 0.17526378 0.04912833 0.00393525],0.17526377805152377
89637,F,E,[0.2251313  0.32872857 0.21907813 0.1328947  0.08981603 0.00435128],0.08981602970810465
89637,M,E,[0.23468614 0.33302582 0.19878019 0.13735606 0.09081463 0.00533715],0.09081463231749773
90130,F,B,[0.17497103 0.30115825 0.24285575 0.19289212 0.08501143 0.00311142],0.30115825412680236
90130,M,B,[0.20927508 0.34463874 0.21243506 0.15785978 0.07178646 0.00400487],0.3446387445771517
90238,F,D,[0.1986599  0.04341017 0.17199186 0.45559446 0.12642128 0.00392233],0.4555944579210591
90238,M,D,[0.23892266 0.05107921 0.1688059  0.42351909 0.11381688 0.00385625],0.42351909378180064
95509,F,E,[0.18945355 0.24183862 0.2289179  0.1864509  0.15009188 0.00324715],0.1500918807360204
95509,M,E,[0.15221333 0.25728135 0.24389561 0.17695223 0.16582668 0.00383081],0.1658266830914252
95676,F,A,[0.50856248 0.1055915  0.06322543 0.07152776 0.24813976 0.00295306],0.5085624841209903
95676,M,A,[0.58141503 0.0914252  0.0693107  0.07819479 0.17645547 0.00319881],0.5814150286540625
95739,F,D,[0.22278468 0.09946351 0.17998792 0.3314789  0.15976894 0.00651605],0.33147889701352806
95739,M,D,[0.21543302 0.09639682 0.1605297  0.3748969  0.14630845 0.00643511],0.374896898934176
95823,F,C,[0.11009157 0.12113031 0.41935899 0.20762697 0.13407714 0.00771502],0.41935899265302146
95823,M,C,[0.11239891 0.14661775 0.40944647 0.20339698 0.12036447 0.00777543],0.40944646778426436
96189,F,D,[0.14273359 0.13922194 0.15938262 0.28159531 0.27422223 0.0028443 ],0.28159531408246297
96189,M,D,[0.10499304 0.12116384 0.16600744 0.33551497 0.26899871 0.003322  ],0.33551496973916767
96244,F,E,[0.17722019 0.30205618 0.17435153 0.15851863 0.18554949 0.00230398],0.1855494920457037
96244,M,E,[0.17818542 0.32780515 0.17199266 0.16004901 0.15905817 0.00290959],0.1590581650688233
96291,F,C,[0.19976403 0.22353817 0.15991947 0.27768081 0.13324099 0.00585653],0.15991946514274577
96291,M,C,[0.2014568  0.21257967 0.16368165 0.30253066 0.11375127 0.00599995],0.16368164533233356
96315,F,A,[0.46287966 0.11189699 0.14983695 0.15154231 0.1212817  0.00256239],0.4628796605981297
96315,M,A,[0.53834556 0.09656821 0.12139414 0.13418671 0.1063521  0.00315329],0.538345562637245
96502,F,C,[0.0482226  0.05243293 0.67316125 0.13117802 0.09159883 0.00340637],0.6731612541720466
96502,M,C,[0.05291227 0.05830031 0.65662659 0.13814472 0.09051872 0.0034974 ],0.6566265866852338
96516,F,E,[0.17914829 0.19845021 0.14060624 0.36130359 0.11520939 0.00528227],0.1152093941091919
96516,M,E,[0.19014113 0.20736838 0.15636281 0.28897086 0.15154919 0.00560763],0.15154919393712174
97262,F,A,[0.77125786 0.07804207 0.07007559 0.03009007 0.04598387 0.00455053],0.7712578611974427
97262,M,A,[0.74363184 0.09705292 0.07335038 0.03415457 0.04705693 0.00475336],0.7436318354667666
97590,F,E,[0.06005746 0.23066415 0.26438595 0.26319393 0.17917875 0.00251976],0.17917874631519964
97590,M,E,[0.07245461 0.22665363 0.2509721  0.2527931  0.19408976 0.0030368 ],0.19408976487601093
97727,F,E,[0.18660403 0.11134971 0.11647623 0.20951766 0.37381799 0.00223437],0.3738179926147378
97727,M,E,[0.14256066 0.10266456 0.09997054 0.21051229 0.44182154 0.00247041],0.4418215414278828
97761,F,C,[0.09862562 0.0736003  0.50451573 0.10331971 0.21801315 0.00192549],0.5045157293555471
97761,M,C,[0.09473783 0.07936372 0.50346661 0.10661721 0.21351026 0.00230438],0.5034666059664721
97915,F,C,[0.10688183 0.23025695 0.18962148 0.22966443 0.2407545  0.00282081],0.1896214792102433
97915,M,C,[0.12279873 0.21795967 0.20839805 0.22737936 0.21960929 0.00385491],0.2083980504525735
98106,F,E,[0.09674537 0.43467854 0.21290402 0.10988362 0.14392995 0.0018585 ],0.1439299548601081
98106,M,E,[0.13062369 0.38781935 0.21579053 0.1086163  0.15456055 0.00258958],0.15456054844411118
111431,F,E,[0.40427698 0.13506033 0.12117294 0.1505217  0.18666581 0.00230224],0.18666580818504222
111431,M,E,[0.41346607 0.13371673 0.1232995  0.13817685 0.18847009 0.00287076],0.18847008730116224
111516,F,C,[0.11976428 0.14523421 0.31818838 0.1950769  0.21846037 0.00327586],0.3181883833514891
111516,M,C,[0.10869798 0.13978496 0.39770901 0.1869383  0.16306973 0.00380001],0.39770901397889774
111558,F,D,[0.18580965 0.37076574 0.14152244 0.17055014 0.1290063  0.00234574],0.17055013590692203
111558,M,D,[0.1605297  0.46231991 0.12363291 0.15572144 0.09528145 0.00251459],0.15572143966579188
111613,F,A,[0.15638345 0.32000164 0.16711766 0.2424094  0.11090858 0.00317928],0.15638344893832506
111613,M,A,[0.18333512 0.29973221 0.15523004 0.25973569 0.09834235 0.00362461],0.18333511863317445
111668,F,B,[0.0963373  0.21711435 0.40693508 0.17119574 0.10412106 0.00429647],0.21711435323270536
111668,M,B,[0.08792245 0.25079133 0.36931605 0.17921108 0.10816239 0.0045967 ],0.2507913341545713
111694,F,A,[0.22370523 0.34995423 0.11475869 0.20194794 0.1072986  0.0023353 ],0.22370522989325825
111694,M,A,[0.23161587 0.33109635 0.12625864 0.19886187 0.10922286 0.00294441],0.23161587488618712
111738,F,B,[0.10916145 0.29716892 0.15743799 0.14365936 0.28938429 0.00318798],0.297168924821372
111738,M,B,[0.10599995 0.31187537 0.17196454 0.14082802 0.26558968 0.00374243],0.31187536821809225
111835,F,C,[0.05592656 0.10375972 0.47956467 0.30762418 0.0493115  0.00381337],0.4795646731216309
111835,M,C,[0.05307143 0.10152712 0.45822342 0.33695438 0.0465146  0.00370905],0.4582234215440812
111893,F,C,[0.10278461 0.0890956  0.37161407 0.28675142 0.14326695 0.00648734],0.37161407306606714
111893,M,C,[0.10727599 0.09939612 0.32814124 0.31356783 0.14476461 0.00685421],0.3281412350704301
111914,F,B,[0.1552795  0.32298137 0.10351967 0.26708075 0.14906832 0.00207039],0.32298136645962733
111914,M,B,[0.16442049 0.2884097  0.14824798 0.24797844 0.1509434  0.        ],0.2884097035040431
111918,F,D,[0.09564077 0.13299781 0.0725681  0.62043958 0.07440411 0.00394962],0.6204395847703719
111918,M,D,[0.08600927 0.12948348 0.06183985 0.66192684 0.05711806 0.00362249],0.6619268447327818
111926,F,B,[0.09426911 0.44449307 0.08437453 0.03517657 0.33849176 0.00319494],0.4444930724013239
111926,M,B,[0.08972872 0.47153339 0.07000428 0.03605324 0.32955519 0.00312517],0.47153339403352795
111929,F,A,[0.26583986 0.20582329 0.29297513 0.11509715 0.11757515 0.00268943],0.26583985605351357
111929,M,A,[0.28372342 0.18818355 0.25144609 0.16313133 0.11075331 0.00276231],0.2837234213486155
111954,F,D,[0.14963335 0.09763024 0.20392738 0.38156869 0.16206335 0.00517699],0.3815686895510025
111954,M,D,[0.17087864 0.09560013 0.22704194 0.34273071 0.15838198 0.00536661],0.3427307053719672
111961,F,C,[0.09534802 0.14761998 0.54078861 0.18033161 0.03283866 0.00307313],0.5407886081808658
111961,M,C,[0.10313052 0.14535644 0.55660918 0.15715013 0.03486155 0.00289219],0.556609180011783
111964,F,D,[0.10404623 0.12011579 0.0701104  0.49251903 0.20703967 0.00616889],0.4925190287092497
111964,M,D,[0.09255128 0.10470248 0.06095281 0.55722913 0.1788442  0.0057201 ],0.5572291253816078
111984,F,A,[0.31690588 0.11965726 0.06949786 0.15926603 0.32861632 0.00605665],0.31690588141120457
111984,M,A,[0.34515827 0.10372235 0.07725216 0.14199159 0.32593193 0.00594371],0.3451582668309143
112145,F,B,[0.2289118  0.28428039 0.12269907 0.15894758 0.19671874 0.00844241],0.2842803893794222
112145,M,B,[0.23148599 0.33216887 0.12607654 0.14882706 0.15347196 0.00796958],0.33216887151197044
117651,F,E,[0.118641   0.12530061 0.19315576 0.3066128  0.25334634 0.00294349],0.2533463381698332
117651,M,E,[0.08340608 0.09486101 0.1519549  0.38608002 0.28040678 0.0032912 ],0.28040678056879653
117742,F,B,[0.13986928 0.33909734 0.18201261 0.16936421 0.16602658 0.00362999],0.33909734137521796
117742,M,B,[0.13712576 0.36318087 0.17788683 0.15650474 0.16094612 0.00435569],0.3631808687269027
117820,F,C,[0.12903153 0.26212373 0.24735234 0.17322564 0.18277219 0.00549457],0.2473523382603218
117820,M,C,[0.13594612 0.26814311 0.28294012 0.17718387 0.12921643 0.00657035],0.2829401210433292
117854,F,C,[0.09729526 0.15159103 0.24715222 0.27861267 0.22318144 0.00216738],0.24715221923300468
117854,M,C,[0.09983129 0.16263724 0.25107787 0.27310133 0.21043731 0.00291495],0.2510778747790691
