CO_ITEM,SG_UF_PROVA,TX_GABARITO,answer_distribution,correct_probability
10500,TO,B,[0.18663579 0.18084599 0.25659015 0.24426129 0.12798856 0.00367822],0.18084599141747837
10776,AC,B,[0.1122251  0.52449871 0.07600259 0.1547542  0.12807245 0.00444696],0.5244987063389392
10776,AL,B,[0.08803091 0.5971481  0.07610629 0.1317545  0.10065043 0.00630976],0.5971480987324883
10776,AM,B,[0.11586355 0.53162539 0.07240441 0.16380329 0.11212513 0.00417823],0.5316253882734545
10776,AP,B,[0.11257946 0.52601204 0.07234861 0.17029107 0.11400134 0.00476748],0.526012044161927
10776,BA,B,[0.10019775 0.57862883 0.06840532 0.14223699 0.10582384 0.00470728],0.5786288309042366
10776,CE,B,[0.10916416 0.56066015 0.08099427 0.14364155 0.10159671 0.00394316],0.5606601491713137
10776,DF,B,[0.07036095 0.64647268 0.05467218 0.13086341 0.08472465 0.01290613],0.646472677161181
10776,ES,B,[0.08704253 0.62646186 0.05771804 0.1390295  0.08587886 0.0038692 ],0.6264618607086752
10776,GO,B,[0.09703737 0.58772689 0.06626656 0.14512319 0.09945854 0.00438745],0.587726892544278
10776,MA,B,[0.10901806 0.54255059 0.08292815 0.14877088 0.11196523 0.00476708],0.5425505907917968
10776,MG,B,[0.0818465  0.64996474 0.05045839 0.13061236 0.083874   0.00324401],0.6499647390691115
10776,MS,B,[0.09233024 0.59341831 0.07354443 0.13705201 0.09921393 0.00444109],0.5934183061686725
10776,MT,B,[0.09380784 0.56895889 0.07969825 0.15059547 0.10229456 0.00464499],0.5689588935843258
10776,PA,B,[0.10687174 0.53211536 0.07658692 0.15917697 0.12012527 0.00512374],0.5321153604565604
10776,PB,B,[0.09153991 0.60088874 0.07021022 0.12982396 0.10370877 0.00382841],0.6008887369680397
10776,PE,B,[0.09488988 0.59938984 0.06771856 0.13367337 0.0993517  0.00497664],0.5993898369720659
10776,PI,B,[0.10266479 0.56195796 0.08082569 0.14294114 0.10806157 0.00354885],0.5619579597236514
10776,PR,B,[0.08422123 0.61908188 0.07040349 0.13654011 0.08662755 0.00312574],0.6190818769303283
10776,RJ,B,[0.08249157 0.6522307  0.05184738 0.12905768 0.08016327 0.00420941],0.6522307009760426
10776,RN,B,[0.08934274 0.61033025 0.06270438 0.13443482 0.09907636 0.00411145],0.6103302545273745
10776,RO,B,[0.09705618 0.55225607 0.08342975 0.15541843 0.10862579 0.00321378],0.5522560740455071
10776,RR,B,[0.0929237  0.59506422 0.06522287 0.14756988 0.09619743 0.00302191],0.5950642155628305
10776,RS,B,[0.08755003 0.62342767 0.06058224 0.13868639 0.08637078 0.00338289],0.6234276729559748
10776,SC,B,[0.08077714 0.62344524 0.07233704 0.13455064 0.08514916 0.00374076],0.6234452445525109
10776,SE,B,[0.0890442  0.59196393 0.07415812 0.13993525 0.10057184 0.00432665],0.5919639345254304
10776,SP,B,[0.07958736 0.65632821 0.05563665 0.13020154 0.07470714 0.0035391 ],0.656328211519509
10776,TO,B,[0.11014236 0.53518153 0.078605   0.15721    0.11491043 0.00395068],0.5351815271439275
10992,AC,A,[0.         0.33333333 0.66666667 0.         0.         0.        ],0.0
10992,AL,A,[0.         0.14285714 0.14285714 0.57142857 0.14285714 0.        ],0.0
10992,AM,A,[0.  0.4 0.2 0.2 0.2 0. ],0.0
10992,AP,A,[0. 0. 0. 1. 0. 0.],0.0
10992,BA,A,[0.13043478 0.39130435 0.2173913  0.17391304 0.08695652 0.        ],0.13043478260869565
10992,CE,A,[0.05263158 0.31578947 0.26315789 0.21052632 0.15789474 0.        ],0.05263157894736842
10992,DF,A,[0.    0.375 0.25  0.25  0.125 0.   ],0.0
10992,ES,A,[0.  0.5 0.5 0.  0.  0. ],0.0
10992,GO,A,[0.11111111 0.55555556 0.22222222 0.         0.11111111 0.        ],0.1111111111111111
10992,MA,A,[0.         0.57142857 0.28571429 0.14285714 0.         0.        ],0.0
10992,MG,A,[0.07142857 0.25       0.32142857 0.25       0.10714286 0.        ],0.07142857142857142
10992,MS,A,[0. 0. 0. 1. 0. 0.],0.0
10992,MT,A,[0.5 0.5 0.  0.  0.  0. ],0.5
10992,PA,A,[0.1875 0.4375 0.     0.3125 0.0625 0.    ],0.1875
10992,PB,A,[0.         0.5        0.22222222 0.11111111 0.16666667 0.        ],0.0
10992,PE,A,[0.1 0.2 0.1 0.3 0.3 0. ],0.1
10992,PI,A,[0.125  0.375  0.1875 0.125  0.1875 0.    ],0.125
10992,PR,A,[0.22727273 0.27272727 0.22727273 0.27272727 0.         0.        ],0.22727272727272727
10992,RJ,A,[0.         0.38888889 0.27777778 0.22222222 0.11111111 0.        ],0.0
10992,RN,A,[0.1875 0.3125 0.375  0.0625 0.0625 0.    ],0.1875
10992,RO,A,[0.   0.25 0.5  0.   0.25 0.  ],0.0
10992,RS,A,[0.16666667 0.33333333 0.25       0.16666667 0.08333333 0.        ],0.16666666666666666
10992,SC,A,[0.33333333 0.33333333 0.33333333 0.         0.         0.        ],0.3333333333333333
10992,SE,A,[0.         0.33333333 0.16666667 0.5        0.         0.        ],0.0
10992,SP,A,[0.15  0.375 0.25  0.15  0.075 0.   ],0.15
