CO_ITEM,TX_GABARITO,answer_distribution,correct_probability
97262,A,[0.76037678 0.08552988 0.07136544 0.03169096 0.04640652 0.00463042],0.7603767833448303
97590,E,[0.06494033 0.22908453 0.25910263 0.25909735 0.18505176 0.0027234 ],0.18505175734485982
97727,E,[0.16925664 0.10792888 0.10997513 0.20990942 0.40060259 0.00232734],0.40060258755081335
97761,C,[0.09709433 0.07587034 0.50410251 0.1046185  0.21623959 0.00207472],0.5041025105529292
97915,C,[0.11315103 0.22541342 0.19701702 0.22876441 0.23242602 0.00322811],0.19701701758716056
98106,E,[0.11008904 0.41622208 0.21404093 0.10938446 0.14811703 0.00214645],0.14811703256483116
111431,E,[0.40789629 0.13453113 0.12201053 0.14565943 0.18737646 0.00252616],0.1873764605865762
111516,C,[0.11540559 0.14308791 0.34950922 0.19187134 0.19664363 0.00348231],0.3495092175960206
111558,D,[0.17585262 0.40682623 0.13447628 0.16470955 0.11572307 0.00241225],0.16470954921430514
111613,A,[0.16699892 0.3120181  0.16243547 0.24923371 0.10595911 0.00335468],0.1669989178105599
111668,B,[0.09302294 0.23037872 0.39211805 0.17435274 0.10571282 0.00441472],0.23037872411341684
111694,A,[0.226821   0.34252667 0.11928818 0.20073243 0.10805651 0.00257521],0.22682099995991892
111738,B,[0.10791623 0.30296136 0.16315957 0.14254418 0.2800123  0.00340637],0.302961359719348
111835,C,[0.05466911 0.10277644 0.47016558 0.32054175 0.04807969 0.00376742],0.47016558367913325
111893,C,[0.10455363 0.09315267 0.3544914  0.29731362 0.14385683 0.00663184],0.35449140260611467
111914,B,[0.15925059 0.30796253 0.12295082 0.2587822  0.1498829  0.00117096],0.3079625292740047
111918,D,[0.09139887 0.13145003 0.06784318 0.63871136 0.06679101 0.00380555],0.6387113560249242
111926,B,[0.09248079 0.45514346 0.07871452 0.03552187 0.33497191 0.00316746],0.4551434586605743
111929,A,[0.27288367 0.19887551 0.27661806 0.1340164  0.11488823 0.00271813],0.27288366568995376
111954,D,[0.15800124 0.09683064 0.21303152 0.36627155 0.16061337 0.00525168],0.3662715514968178
111961,C,[0.09841332 0.14672843 0.54701987 0.1712011  0.03363542 0.00300186],0.5470198654541082
111964,D,[0.09951871 0.11404494 0.06650349 0.51800643 0.1959343  0.00599212],0.5180064298507084
111984,A,[0.32803366 0.11338097 0.07255205 0.15246214 0.32755902 0.00601216],0.32803366389685235
112145,B,[0.2299257  0.30314225 0.12402935 0.15496141 0.17968511 0.00825618],0.30314225200880096
117651,E,[0.104763   0.11331135 0.17692795 0.3379126  0.26400465 0.00308044],0.26400464940648344
117742,B,[0.13878869 0.34858313 0.18038758 0.16429925 0.16402553 0.00391582],0.3485831334552642
117820,C,[0.13175498 0.26449459 0.26136932 0.17478467 0.16167815 0.00591829],0.2613693177143653
117854,C,[0.09829413 0.15594181 0.24869842 0.27644192 0.2181619  0.00246182],0.2486984193283675
117877,B,[0.19176745 0.33035468 0.21944872 0.17752706 0.077549   0.0033531 ],0.33035467545919217
117886,D,[0.16832898 0.16311    0.33519763 0.19318611 0.1358037  0.00437359],0.19318610915979487
117973,A,[0.23164444 0.25331618 0.25484665 0.15348421 0.10316925 0.00353927],0.23164444275681959
118066,C,[0.12184019 0.29550733 0.47021289 0.04315099 0.06458699 0.00470162],0.4702128938758203
118110,C,[0.19826902 0.16830841 0.32768981 0.17295412 0.12696898 0.00580965],0.3276898103320613
118120,A,[0.21918713 0.26603296 0.12132388 0.13507749 0.25389947 0.00447906],0.21918713439189602
118230,E,[0.05754294 0.11643079 0.05171461 0.09932955 0.66842996 0.00655215],0.6684299644112986
118252,D,[0.16990122 0.08953853 0.26399873 0.32171052 0.14789266 0.00695834],0.3217105247621319
119767,D,[0.05366594 0.05216185 0.04738903 0.77901291 0.06463234 0.00313793],0.7790129082206316
120124,C,[0.08783665 0.08921682 0.68547419 0.05574752 0.07882896 0.00289586],0.6854741909420955
120368,B,[0.13234618 0.06982126 0.35345035 0.25168077 0.18966003 0.00304142],0.06982125943224081
120622,B,[0.10461692 0.41955092 0.17078342 0.21205428 0.08869787 0.00429659],0.4195509230253207
120626,B,[0.25242227 0.39131274 0.1168754  0.14525651 0.08944201 0.00469107],0.3913127400910052
125654,E,[0.07679853 0.11357821 0.13787684 0.19233439 0.47250174 0.0069103 ],0.472501735089307
125706,E,[0.1477505  0.11470153 0.11491512 0.34472322 0.27179304 0.00611659],0.27179303812555505
125944,D,[0.15636583 0.07315326 0.11815325 0.56570978 0.0791591  0.00745877],0.5657097833722542
126560,C,[0.14211594 0.11426961 0.40084466 0.20296537 0.13758942 0.00221501],0.4008446562413641
140190,C,[0.06876438 0.07630227 0.59536504 0.07158588 0.18268012 0.00530231],0.5953650438044127
140378,A,[0.46611618 0.08489122 0.19247731 0.17153652 0.07739606 0.00758271],0.4661161845333401
140429,B,[0.17125015 0.45148659 0.08880018 0.1016583  0.18111854 0.00568624],0.45148658654667656
140441,D,[0.14230897 0.07435359 0.30614095 0.42496556 0.04641865 0.00581229],0.4249655619052441
140506,D,[0.26368189 0.11631691 0.21717095 0.32883529 0.06724078 0.00675419],0.3288352857043408
140527,A,[0.60606    0.22727648 0.05638696 0.05643655 0.04756299 0.00627703],0.6060599977801341
140550,A,[0.57788231 0.08844367 0.08580359 0.16328614 0.0789819  0.00560239],0.5778823050424121
140567,A,[0.63029314 0.06416475 0.07311624 0.09387907 0.13273381 0.00581298],0.6302931403781802
140568,A,[0.44465329 0.21291866 0.08891357 0.06578678 0.18013971 0.00758798],0.4446532880206059
140572,B,[0.23091244 0.43569569 0.16463044 0.06584901 0.09773774 0.00517468],0.43569569170469097
140585,C,[0.23662874 0.27332825 0.24690585 0.18021302 0.05740034 0.00552381],0.24690584529964835
140626,E,[0.08500102 0.07356055 0.11041422 0.1215497  0.60501135 0.00446315],0.6050113508784303
140631,B,[0.06712211 0.329552   0.13883931 0.27784423 0.17938556 0.00725679],0.3295519988861676
140639,B,[0.08986075 0.50773354 0.28696057 0.05600383 0.05430935 0.00513196],0.5077335409111908
140643,B,[0.11353654 0.3324679  0.1832075  0.12758655 0.23632075 0.00688076],0.3324678982109067
140682,E,[0.14756328 0.13377328 0.37066834 0.07777472 0.26334067 0.00687971],0.2633406745014651
140721,E,[0.04220486 0.42658199 0.05359527 0.07854892 0.39360844 0.00546052],0.3936084372804769
140731,D,[0.05931144 0.09083562 0.08169106 0.64298581 0.1215964  0.00357967],0.6429858052071082
140767,B,[0.03471501 0.7305858  0.0384243  0.16160849 0.03087134 0.00379506],0.7305858044446647
140827,B,[0.19800322 0.45772342 0.05912805 0.15406116 0.12712825 0.0039559 ],0.4577234151620436
140898,C,[0.35992555 0.207234   0.18543886 0.06801814 0.17478783 0.00459561],0.1854388562966338
140914,C,[0.33669909 0.14550174 0.27162428 0.11217695 0.12773527 0.00626267],0.27162427563976804
141030,E,[0.06146382 0.13312143 0.09407401 0.1253457  0.58109512 0.00489991],0.5810951208655828
141048,B,[0.0467298  0.81190472 0.06181875 0.04142064 0.03331582 0.00481026],0.8119047167005247
141072,B,[0.11168965 0.42366767 0.03624122 0.1766342  0.24652666 0.0052406 ],0.4236676729129882
141148,D,[0.1187165  0.09684804 0.17319619 0.46182487 0.14479821 0.00461618],0.46182487094943664
141203,C,[0.04683792 0.20550208 0.68090442 0.03812661 0.02535393 0.00327505],0.6809044192566435
141210,C,[0.18149883 0.15105386 0.40983607 0.10538642 0.1498829  0.00234192],0.4098360655737705
141261,E,[0.18242223 0.09117604 0.16742241 0.08900164 0.4658314  0.00414628],0.46583139783857447
141322,A,[0.86500583 0.03073745 0.03180645 0.03655817 0.03069842 0.00519367],0.865005832853415
141355,A,[0.21807436 0.13325539 0.13484861 0.35145895 0.1571337  0.005229  ],0.21807435675123776
141364,A,[0.6987231  0.19941186 0.03185972 0.02546784 0.03979314 0.00474434],0.6987231008419138
141384,D,[0.11505066 0.17292723 0.09700257 0.310302   0.29908721 0.00563034],0.3103020004683159
141390,A,[0.67743319 0.06353222 0.11092705 0.08621495 0.0581429  0.00374969],0.6774331858771114
141410,B,[0.07697995 0.57771723 0.12790562 0.09550216 0.11947329 0.00242174],0.5777172342360016
141427,E,[0.27188269 0.24394354 0.2865413  0.100208   0.09456606 0.00285841],0.09456605891076472
141440,E,[0.06015222 0.08456741 0.12981949 0.07242337 0.64831164 0.00472588],0.6483116368062544
141464,B,[0.205152   0.41255536 0.09591136 0.16324522 0.11972604 0.00341001],0.4125553605705054
141503,C,[0.23994123 0.09358618 0.42823955 0.17971042 0.05643154 0.00209107],0.42823955412951253
141545,B,[0.08861033 0.28178114 0.31638378 0.2389334  0.07092929 0.00336207],0.2817811403703071
141547,B,[0.17968775 0.42143315 0.10303055 0.23377243 0.05998663 0.00208949],0.42143315212461424
141574,A,[0.32246872 0.13058947 0.08621495 0.09761275 0.36082896 0.00228515],0.3224687209280249
141597,B,[0.11109898 0.22536331 0.15626773 0.31039693 0.19466753 0.00220551],0.2253633139889334
141605,D,[0.14064402 0.23377823 0.11474847 0.35726333 0.15118904 0.00237691],0.35726332643516673
141712,D,[0.08242993 0.05787446 0.17986178 0.35912657 0.3184295  0.00227777],0.3591265697548092
141725,E,[0.2552791  0.19505041 0.29730887 0.11950652 0.13100188 0.00185322],0.13100187959218546
141726,A,[0.36024462 0.24799542 0.06415611 0.13420837 0.19142043 0.00197505],0.3602446212231483
141731,E,[0.26949523 0.34789859 0.11269379 0.14160596 0.12598805 0.00231837],0.1259880516160063
