CO_ITEM,RENDA,TX_GABARITO,answer_distribution,correct_probability
8364,G,A,[0.33145817 0.20032146 0.22318064 0.08368604 0.1577998  0.00355389],0.33145816590767035
8364,H,A,[0.35035624 0.18516962 0.23483766 0.08405001 0.14229954 0.00328692],0.35035623908638447
8364,I,A,[0.35956967 0.17593002 0.24505169 0.08571176 0.12989308 0.00384377],0.3595696739418574
8364,J,A,[0.37345105 0.1648116  0.24742236 0.08765568 0.12334857 0.00331074],0.3734510483998108
8364,K,A,[0.38002867 0.15894633 0.25047039 0.08950811 0.11696981 0.0040767 ],0.3800286712660156
8364,L,A,[0.38309162 0.15327202 0.25313053 0.09179342 0.1151751  0.00353732],0.38309161655465157
8364,M,A,[0.39002327 0.15096464 0.25212071 0.09263569 0.11042715 0.00382854],0.3900232715261617
8364,N,A,[0.39043887 0.14670846 0.25992685 0.09430512 0.10512017 0.00350052],0.3904388714733542
8364,O,A,[0.41049025 0.1357846  0.26013318 0.0880139  0.10239336 0.00318471],0.41049025284694074
8364,P,A,[0.41003377 0.13389076 0.26445838 0.09551375 0.092405   0.00369834],0.4100337674867342
8364,Q,A,[0.41713144 0.13210688 0.26508782 0.0902772  0.09177558 0.00362108],0.41713144093898274
9678,A,E,[0.23913043 0.15217391 0.19565217 0.15217391 0.26086957 0.        ],0.2608695652173913
9678,B,E,[0.19379845 0.13953488 0.17571059 0.20671835 0.27906977 0.00516796],0.27906976744186046
9678,C,E,[0.20567376 0.14893617 0.19858156 0.19148936 0.25531915 0.        ],0.2553191489361702
9678,D,E,[0.14423077 0.14423077 0.15384615 0.24038462 0.31730769 0.        ],0.3173076923076923
9678,E,E,[0.14 0.1  0.26 0.26 0.24 0.  ],0.24
9678,F,E,[0.04545455 0.13636364 0.27272727 0.22727273 0.31818182 0.        ],0.3181818181818182
9678,G,E,[0.33333333 0.04166667 0.08333333 0.25       0.29166667 0.        ],0.2916666666666667
9678,H,E,[0.06060606 0.09090909 0.12121212 0.21212121 0.51515152 0.        ],0.5151515151515151
9678,I,E,[0.         0.06666667 0.13333333 0.4        0.4        0.        ],0.4
9678,J,E,[0.   0.   0.   0.25 0.75 0.  ],0.75
9678,K,E,[0.25 0.   0.25 0.25 0.25 0.  ],0.25
9678,L,E,[0. 0. 0. 0. 1. 0.],1.0
9678,M,E,[0.25 0.   0.25 0.5  0.   0.  ],0.0
9678,N,E,[0. 0. 0. 0. 1. 0.],1.0
9678,O,E,[0.  0.  0.  0.5 0.5 0. ],0.5
9678,P,E,[0. 0. 0. 0. 1. 0.],1.0
9678,Q,E,[0.25 0.   0.   0.25 0.5  0.  ],0.5
9716,A,E,[0.19571466 0.12804992 0.32838544 0.10445506 0.23910761 0.0042873 ],0.2391076141235566
9716,B,E,[0.20226466 0.12223801 0.31972298 0.09782381 0.25373986 0.00421067],0.25373986336420673
9716,C,E,[0.20745452 0.11621672 0.31169651 0.0841957  0.27664708 0.00378947],0.27664707721360293
9716,D,E,[0.21233818 0.11123447 0.30554026 0.07985775 0.28744715 0.00358219],0.28744714530433463
9716,E,E,[0.21578145 0.10831978 0.29764085 0.07544922 0.29916495 0.00364375],0.29916494832157176
9716,F,E,[0.21893826 0.10445443 0.2930826  0.06998391 0.31024574 0.00329506],0.3102457424973651
9716,G,E,[0.22008929 0.10314286 0.2886875  0.0665     0.31842857 0.00315179],0.31842857142857145
9716,H,E,[0.22340912 0.10057426 0.28252486 0.06257995 0.32767169 0.00324011],0.32767169335636587
9716,I,E,[0.22398445 0.09873871 0.27596033 0.05919905 0.33875991 0.00335756],0.33875991252678317
9716,J,E,[0.22406835 0.09675894 0.27183303 0.05750678 0.34696387 0.00286903],0.34696386909641214
